rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
1,Haiti,HTI,22.7,8.0,32.0,12.0,546.0,1000.0,3.9,51.0,34.0,3.1,28.22,39.37,Haiti,157.0,110.0,141.0
2,Dominican Republic,DOM,27.6,7.6,68.0,32.0,1610.0,2900.0,2.9,51.0,39.2,2.5,31.63,46.46,Dominican Republic,132.0,86.0,116.0
3,Costa Rica,CRI,25.7,7.1,70.0,34.0,927.0,1530.0,3.1,50.0,36.6,2.5,31.19,41.81,Costa Rica,122.0,77.0,106.0
4,United Arab Emirates,ARE,31.7,6.7,73.0,35.0,2180.0,3310.0,1.9,45.0,40.6,2.0,37.01,49.82,United Arab Emirates,268.0,214.0,252.0
5,Algeria,DZA,27.4,6.6,62.0,26.0,5300.0,9190.0,2.7,49.0,37.4,2.2,29.06,45.82,Algeria,81.0,40.0,66.0
6,Oman,OMN,27.0,6.5,71.0,36.0,810.0,1570.0,3.0,52.0,35.2,2.1,31.87,42.72,Oman,213.0,163.0,196.0
6,Syria,SYR,27.8,6.5,74.0,36.0,3010.0,7210.0,,,37.4,2.1,29.58,44.94,Syrian Arab Republic,252.0,,236.0
6,Egypt,EGY,32.0,6.5,76.0,48.0,23150.0,40130.0,2.0,49.0,41.6,1.8,31.41,51.69,Egypt,134.0,88.0,118.0
6,United States,USA,36.2,6.5,75.0,44.0,94870.0,129380.0,2.1,58.0,46.9,1.7,46.58,47.13,United States,270.0,216.0,254.0
10,Turkey,TUR,32.1,6.4,71.0,36.0,17250.0,24820.0,2.3,55.0,42.1,1.9,34.07,49.71,Turkey,263.0,210.0,247.0
10,Saudi Arabia,SAU,35.4,6.4,75.0,45.0,7540.0,12350.0,2.1,57.0,45.0,1.6,40.94,50.99,Saudi Arabia,234.0,182.0,217.0
12,Morocco,MAR,26.1,6.3,59.0,24.0,4130.0,7350.0,2.7,46.0,35.0,2.1,27.73,42.09,Morocco,198.0,150.0,181.0
13,Iran,IRN,25.8,6.1,64.0,26.0,12600.0,20010.0,2.6,46.0,34.8,2.1,27.78,41.84,Iran,163.0,116.0,147.0
14,Ireland,IRL,25.3,6.0,67.0,30.0,904.0,1350.0,2.8,47.0,34.5,2.2,34.44,34.64,Ireland,165.0,118.0,149.0
14,Libya,LBY,32.5,6.0,71.0,39.0,1370.0,2210.0,1.9,49.0,40.7,1.6,33.4,47.89,Libya,181.0,134.0,165.0
16,United Kingdom,GBR,27.8,5.9,63.0,28.0,13010.0,16310.0,2.4,46.0,37.0,1.9,36.63,37.45,United Kingdom,269.0,215.0,253.0
16,New Zealand,NZL,30.8,5.9,70.0,36.0,1050.0,1570.0,2.2,49.0,40.0,1.8,39.7,40.28,New Zealand,205.0,156.0,188.0
18,Honduras,HND,21.4,5.8,68.0,32.0,1270.0,2670.0,3.2,42.0,29.8,2.4,22.78,36.63,Honduras,158.0,111.0,142.0
18,Jordan,JOR,35.5,5.8,72.0,41.0,2030.0,3310.0,1.9,56.0,44.6,1.5,37.66,51.78,Jordan,170.0,123.0,154.0
20,Malaysia,MYS,15.6,5.7,59.0,24.0,3640.0,7500.0,4.7,41.0,23.4,3.3,20.55,26.36,Malaysia,186.0,139.0,170.0
20,Yemen,YEM,17.1,5.7,41.0,15.0,1570.0,4190.0,,,24.8,2.9,18.22,31.37,Yemen,276.0,,260.0
20,El Salvador,SLV,24.6,5.7,69.0,33.0,1024.0,1630.0,2.8,46.0,33.2,2.1,26.93,38.31,El Salvador,135.0,89.0,119.0
23,Tunisia,TUN,26.9,5.6,60.0,29.0,1880.0,2860.0,2.5,46.0,35.5,1.9,27.09,43.55,Tunisia,262.0,209.0,246.0
23,Canada,CAN,29.4,5.6,61.0,27.0,7170.0,9360.0,2.3,49.0,38.5,1.8,38.94,37.99,Canada,112.0,68.0,97.0
25,Australia,AUS,29.0,5.5,66.0,32.0,4960.0,7500.0,2.2,47.0,37.8,1.8,39.03,36.57,Australia,88.0,45.0,73.0
25,Iraq,IRQ,30.4,5.5,77.0,44.0,6850.0,13610.0,1.9,45.0,38.4,1.6,31.59,45.27,Iraq,164.0,117.0,148.0
27,Guatemala,GTM,21.2,5.4,67.0,30.0,1890.0,4120.0,3.0,39.0,28.9,2.3,21.66,35.6,Guatemala,153.0,106.0,137.0
27,Papua New Guinea,PNG,21.3,5.4,54.0,22.0,850.0,1650.0,,,,,,,Papua New Guinea,,,201.0
27,South Africa,ZAF,28.3,5.4,56.0,32.0,10620.0,15390.0,2.4,46.0,36.7,1.9,22.89,49.59,South Africa,244.0,192.0,227.0
30,Nicaragua,NIC,23.7,5.3,71.0,36.0,1080.0,1930.0,2.6,41.0,31.6,2.0,25.08,37.76,Nicaragua,206.0,157.0,189.0
30,Lebanon,LBN,32.0,5.3,68.0,32.0,1200.0,1400.0,1.9,50.0,40.2,1.5,36.0,44.4,Lebanon,178.0,131.0,162.0
32,Turkmenistan,TKM,18.6,5.2,61.0,24.0,730.0,1310.0,2.8,32.0,25.9,2.5,22.73,28.85,Turkmenistan,264.0,211.0,248.0
33,Azerbaijan,AZE,19.9,5.1,65.0,29.0,1637.0,2510.0,2.5,33.0,27.2,2.3,22.52,31.75,Azerbaijan,90.0,47.0,75.0
33,Paraguay,PRY,20.3,5.1,73.0,36.0,1030.0,1930.0,3.2,41.0,28.1,2.3,24.43,31.88,Paraguay,219.0,168.0,202.0
33,Mexico,MEX,28.9,5.1,77.0,39.0,24580.0,40520.0,2.1,47.0,36.8,1.6,32.25,40.91,Mexico,193.0,145.0,177.0
36,Kyrgyzstan,KGZ,16.6,4.9,62.0,30.0,802.0,1560.0,3.0,29.0,23.1,2.6,20.08,25.9,Kyrgyzstan,175.0,128.0,159.0
36,Argentina,ARG,28.3,4.9,73.0,39.0,8660.0,14960.0,1.9,43.0,35.8,1.6,35.44,36.18,Argentina,86.0,43.0,71.0
38,Uzbekistan,UZB,16.6,4.8,68.0,34.0,4730.0,9380.0,2.9,29.0,23.1,2.5,19.7,26.37,Uzbekistan,272.0,218.0,256.0
38,Brazil,BRA,22.1,4.8,68.0,31.0,31080.0,58530.0,2.8,41.0,29.7,2.0,25.87,33.25,Brazil,104.0,60.0,89.0
40,Kazakhstan,KAZ,21.0,4.7,56.0,20.0,2040.0,2950.0,2.4,35.0,27.9,2.0,25.79,29.73,Kazakhstan,171.0,124.0,155.0
40,Cuba,CUB,24.6,4.7,60.0,24.0,1610.0,2330.0,,,32.2,1.8,26.36,37.81,Cuba,125.0,,109.0
40,Hungary,HUN,26.4,4.7,65.0,34.0,2200.0,2870.0,1.6,36.0,33.2,1.6,37.08,29.84,Hungary,159.0,112.0,143.0
