Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all
Haiti,HTI,14.7,22.7,8.0,54.4,0.8,11637398.0,2024.0,11772557.0,Haiti,The Caribbean,Latin America and the Caribbean,True,Haiti,11637398.0,True,10.4594508145107,19.6567783511604,15.05811458283555,18.6275272334621,28.065225152378897,23.3463761929205,8.288261610084948,8.1680764189514,8.408446801218496,1.0,40.0
Niue,NIU,42.1,50.0,7.9,18.8,0.79,,,,Niue,Polynesia and Micronesia,Pacific island nations,False,,,False,37.0759316502171,50.02067970691469,43.548305678565896,46.1650940578305,56.774026718856,51.469560388343254,7.921254709777358,9.0891624076134,6.753347011941308,2.0,165.0
Tuvalu,TUV,43.9,51.6,7.7,17.5,0.77,9816.0,2024.0,9646.0,Tuvalu,Polynesia and Micronesia,Pacific island nations,True,Tuvalu,9816.0,False,39.336736586323404,51.49136528317379,45.4140509347486,48.466540173953796,57.850594830378,53.158567502165894,7.744516567417293,9.129803587630391,6.359229547204208,3.0,170.0
Dominican Republic,DOM,20.0,27.6,7.6,38.0,0.76,11331265.0,2024.0,11427557.0,Dominican Republic,The Caribbean,Latin America and the Caribbean,True,Dominican Republic,11331265.0,True,13.8938882487636,27.615101908344098,20.75449507855385,21.7707579202702,35.4157781167382,28.5932680185042,7.838772939950353,7.876869671506599,7.800676208394105,4.0,70.0
Micronesia (country),FSM,38.6,45.8,7.2,18.7,0.72,112630.0,2024.0,113160.0,Federated States of Micronesia,Polynesia and Micronesia,Pacific island nations,True,Micronesia (Federated States of),112630.0,False,33.102476194542405,46.7528174434122,39.9276468189773,41.477531974266,53.1737334683719,47.325632721318954,7.397985902341652,8.375055779723596,6.420916024959702,5.0,167.0
Costa Rica,CRI,18.6,25.7,7.1,38.2,0.71,5105525.0,2024.0,5129910.0,Costa Rica,Central Latin America,Latin America and the Caribbean,True,Costa Rica,5105525.0,True,14.5775153704646,24.2195462627271,19.39853081659585,21.8308081245724,31.5309441574514,26.6808761410119,7.282345324416049,7.2532927541078,7.311397894724301,6.0,69.0
Tonga,TON,41.3,48.2,6.9,16.7,0.69,104597.0,2024.0,104175.0,Tonga,Polynesia and Micronesia,Pacific island nations,True,Tonga,104597.0,False,34.6759724787966,50.1060131822407,42.390992830518655,42.7167007126193,56.064811611565304,49.3907561620923,6.9997633315736465,8.040728233822698,5.958798429324602,7.0,175.0
United Arab Emirates,ARE,25.0,31.7,6.7,26.8,0.67,10483751.0,2024.0,10986400.0,United Arab Emirates,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,United Arab Emirates,10483751.0,True,21.7404677644105,37.0257250888459,29.3830964266282,28.4428511310159,42.4640140677316,35.45343259937375,6.070336172745549,6.7023833666054,5.438288978885694,8.0,110.0
Algeria,DZA,20.8,27.4,6.6,31.7,0.66,46164219.0,2024.0,46814308.0,Algeria,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Algeria,46164219.0,True,13.956976689388101,29.277874249405798,21.61742546939695,20.6662279544328,36.2187173311687,28.442472642800748,6.825047173403799,6.709251265044697,6.9408430817629,9.0,88.0
Oman,OMN,20.5,27.0,6.5,31.7,0.65,5049269.0,2024.0,5281538.0,Oman,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Oman,5049269.0,True,16.7841286274208,28.636141798258702,22.710135212839752,23.7666312858071,34.974322135566496,29.3704767106868,6.660341497847046,6.982502658386302,6.338180337307794,10.0,88.0
