Entity,Code,Year,obesity_pct,ncd_country,ncd_men_pct,ncd_women_pct,ncd_mean_MW_pct,abs_diff_pp
United Arab Emirates,ARE,2006,25.0,United Arab Emirates,21.7404677644105,37.0257250888459,29.3830964266282,4.3830964266281995
Qatar,QAT,2006,29.1,Qatar,26.6217999750772,39.9131536549284,33.2674768150028,4.1674768150028
Qatar,QAT,2016,35.1,Qatar,33.4642280045358,44.6000204827253,39.03212424363055,3.932124243630547
United Arab Emirates,ARE,2016,31.7,United Arab Emirates,28.4428511310159,42.4640140677316,35.45343259937375,3.753432599373749
Kuwait,KWT,2006,32.5,Kuwait,28.0762236954671,43.0510127844756,35.56361823997135,3.0636182399713476
Kuwait,KWT,2016,37.9,Kuwait,34.2758560620944,47.0802945456947,40.678075303894545,2.7780753038945463
Bahrain,BHR,2016,29.8,Bahrain,26.4641147086526,38.1871820437011,32.32564837617685,2.52564837617685
Bahrain,BHR,2006,25.0,Bahrain,20.9309991237787,34.0328789775025,27.481939050640598,2.481939050640598
Saudi Arabia,SAU,2006,29.0,Saudi Arabia,24.496755997965998,38.355988994915,31.4263724964405,2.4263724964405
Oman,OMN,2016,27.0,Oman,23.7666312858071,34.974322135566496,29.3704767106868,2.3704767106867983
Saudi Arabia,SAU,2016,35.4,Saudi Arabia,31.725949548869796,43.7440156780893,37.734982613479545,2.3349826134795464
Oman,OMN,2006,20.5,Oman,16.7841286274208,28.636141798258702,22.710135212839752,2.2101352128397522
Samoa,WSM,2016,47.3,Samoa,41.276013098285404,56.6203514985664,48.948182298425905,1.6481822984259082
Samoa,WSM,2006,40.8,Samoa,33.8959210035621,50.9699692487775,42.4329451261698,1.6329451261698011
Cook Islands,COK,2006,49.9,Cook Islands,46.6921466376026,56.2447953055439,51.468470971573254,1.5684709715732552
Tuvalu,TUV,2016,51.6,Tuvalu,48.466540173953796,57.850594830378,53.158567502165894,1.558567502165893
Marshall Islands,MHL,2016,52.9,Marshall Islands,49.8462692845397,59.0231548743268,54.434712079433254,1.5347120794332554
Micronesia (country),FSM,2016,45.8,Micronesia (Federated States of),41.477531974266,53.1737334683719,47.325632721318954,1.5256327213189564
Tuvalu,TUV,2006,43.9,Tuvalu,39.336736586323404,51.49136528317379,45.4140509347486,1.514050934748603
Palau,PLW,2016,55.3,Palau,53.1470948777528,60.4788734941984,56.8129841859756,1.5129841859756041
Cook Islands,COK,2016,55.9,Cook Islands,53.971519702117,60.8509252889553,57.41122249553615,1.5112224955361526
Palau,PLW,2006,48.9,Palau,45.3105179646497,55.495766527254396,50.40314224595205,1.5031422459520485
Niue,NIU,2016,50.0,Niue,46.1650940578305,56.774026718856,51.469560388343254,1.469560388343254
Marshall Islands,MHL,2006,47.3,Marshall Islands,42.8624378619397,54.6723018511465,48.7673698565431,1.467369856543101
Niue,NIU,2006,42.1,Niue,37.0759316502171,50.02067970691469,43.548305678565896,1.4483056785658945
Kiribati,KIR,2016,46.0,Kiribati,42.8709576660264,51.9577916023468,47.4143746341866,1.4143746341866006
Lebanon,LBN,2016,32.0,Lebanon,28.3754229937304,38.4367193297194,33.4060711617249,1.4060711617249027
Lebanon,LBN,2006,26.7,Lebanon,22.3604193334504,33.8506344106657,28.10552687205805,1.4055268720580507
Jordan,JOR,2016,35.5,Jordan,29.171537301412,44.6041603783368,36.8878488398744,1.387848839874401
Kiribati,KIR,2006,39.6,Kiribati,35.4983214831157,46.4433696595116,40.97084557131365,1.3708455713136516
Nauru,NRU,2006,57.4,Nauru,55.08472403849281,62.391949072847595,58.7383365556702,1.3383365556702032
Nauru,NRU,2016,61.0,Nauru,59.8519485903737,64.8111594469609,62.331554018667305,1.3315540186673047
