Code,ncd_country,ncd_meanMW_2006,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,un_member
ASM,American Samoa,58.5528157972219,62.037691963239155,3.4848761660172514,False
BMU,Bermuda,31.921169422733,36.53908926154485,4.617919838811851,False
GRL,Greenland,19.238841013610248,23.6909683824565,4.452127368846252,False
HKG,China (Hong Kong SAR),8.968209276424,11.06292262750815,2.0947133510841507,False
PRI,Puerto Rico,30.5871335741628,35.2991197473389,4.711986173176101,False
PSE,Occupied Palestinian Territory,27.755087652548404,33.69284147016825,5.937753817619843,False
PYF,French Polynesia,47.331459956934395,52.8975876636713,5.566127706736907,False
SDN,Sudan,5.822096662188399,8.440345841092196,2.6182491789037963,True
TKL,Tokelau,38.20584724812595,46.789402829844605,8.583555581718656,False
TWN,Taiwan,5.582952753236535,7.94876854231608,2.3658157890795453,False
