Code,Entity,y2016,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025,is_top8
HTI,Haiti,22.7,32.0,12.0,546.0,1000.0,3.9,51.0,34.0,3.1,28.22,39.37,Haiti,157.0,110.0,141.0,True
DOM,Dominican Republic,27.6,68.0,32.0,1610.0,2900.0,2.9,51.0,39.2,2.5,31.63,46.46,Dominican Republic,132.0,86.0,116.0,True
CRI,Costa Rica,25.7,70.0,34.0,927.0,1530.0,3.1,50.0,36.6,2.5,31.19,41.81,Costa Rica,122.0,77.0,106.0,True
ARE,United Arab Emirates,31.7,73.0,35.0,2180.0,3310.0,1.9,45.0,40.6,2.0,37.01,49.82,United Arab Emirates,268.0,214.0,252.0,True
DZA,Algeria,27.4,62.0,26.0,5300.0,9190.0,2.7,49.0,37.4,2.2,29.06,45.82,Algeria,81.0,40.0,66.0,True
OMN,Oman,27.0,71.0,36.0,810.0,1570.0,3.0,52.0,35.2,2.1,31.87,42.72,Oman,213.0,163.0,196.0,True
SYR,Syria,27.8,74.0,36.0,3010.0,7210.0,,,37.4,2.1,29.58,44.94,Syrian Arab Republic,252.0,,236.0,True
EGY,Egypt,32.0,76.0,48.0,23150.0,40130.0,2.0,49.0,41.6,1.8,31.41,51.69,Egypt,134.0,88.0,118.0,True
USA,United States,36.2,75.0,44.0,94870.0,129380.0,2.1,58.0,46.9,1.7,46.58,47.13,United States,270.0,216.0,254.0,True
TUV,Tuvalu,51.6,88.0,67.0,3.5,3.2,,,64.1,1.4,61.07,67.06,Tuvalu,265.0,,249.0,False
FSM,Micronesia (country),45.8,74.0,50.0,28.0,37.0,,,57.2,1.4,52.33,62.04,Micronesia,194.0,,125.0,False
