country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Tokelau,TKL,Polynesia and Micronesia,Pacific island nations,Tokelau,False,territory (NZ),,False,False,20.4513,14.0495,27.8264,21.3408,15.1020,27.9514,20.8960,26.1986,15.0163,39.1972,27.2856,16.2729,40.1574,26.7421,5.8461,27.9770,0.5846,5.7473,28.1024,0.5747,5.9448,27.8567,0.5945,1,,,
Niue,NIU,Polynesia and Micronesia,Pacific island nations,Niue,False,"associated state (NZ), not UN member",,False,False,22.0316,16.4124,28.4711,22.5409,16.8148,28.5627,22.2863,26.8444,16.7433,38.3168,27.3344,17.6023,38.2648,27.0894,4.8031,21.5520,0.4803,4.8128,21.8449,0.4813,4.7935,21.2658,0.4793,4,,,
Occupied Palestinian Territory,PSE,Middle East and north Africa,"Central Asia, Middle East and north Africa",Occupied Palestinian Territory,False,"UN observer state, not member",5165775.0000,True,False,12.1777,9.3012,15.5932,13.2435,10.2897,16.6982,12.7106,16.5207,10.3141,24.2920,17.4637,11.4010,24.9428,16.9922,4.2816,33.6850,0.4282,4.3430,35.6637,0.4343,4.2201,31.8655,0.4220,8,,,
Cook Islands,COK,Polynesia and Micronesia,Pacific island nations,Cook Islands,False,"associated state (NZ), not UN member",,False,False,25.6417,19.1968,32.6165,23.8114,18.2143,30.2531,24.7266,28.2620,17.5707,40.4041,26.6851,16.7670,38.1903,27.4736,2.7470,11.1097,0.2747,2.6203,10.2191,0.2620,2.8737,12.0687,0.2874,36,,,
Bermuda,BMU,The Caribbean,Latin America and the Caribbean,Bermuda,False,territory (UK),64698.0000,False,False,12.0235,7.7277,17.5552,13.0630,8.4500,18.9164,12.5432,14.2209,7.1132,23.8623,15.4305,7.8738,25.7302,14.8257,2.2825,18.1970,0.2282,2.1975,18.2764,0.2197,2.3675,18.1240,0.2368,47,,,
French Polynesia,PYF,Polynesia and Micronesia,Pacific island nations,French Polynesia,False,territory (France),281118.0000,False,False,20.3287,14.5711,26.7940,17.3979,12.3057,23.5105,18.8633,22.3368,13.2147,33.2766,19.2232,11.2677,29.0900,20.7800,1.9167,10.1611,0.1917,2.0082,9.8785,0.2008,1.8253,10.4913,0.1825,63,,,
Puerto Rico,PRI,The Caribbean,Latin America and the Caribbean,Puerto Rico,False,territory (USA),3203792.0000,False,False,12.1186,8.1419,17.3039,12.1127,8.2121,17.3700,12.1157,12.9867,6.6220,21.6314,13.4129,7.0720,22.4017,13.1998,1.0841,8.9481,0.1084,0.8681,7.1632,0.0868,1.3002,10.7338,0.1300,123,,,
American Samoa,ASM,Polynesia and Micronesia,Pacific island nations,American Samoa,False,territory (USA),47521.0000,False,False,31.1034,23.2044,39.7618,30.6783,23.1536,39.1044,30.8909,30.8217,19.1112,43.6937,32.8625,21.2533,46.5821,31.8421,0.9513,3.0794,0.0951,-0.2817,-0.9057,-0.0282,2.1842,7.1197,0.2184,137,,,
Taiwan,TWN,East Asia,East and southeast Asia,Taiwan,False,not UN member,,False,False,6.8359,4.5516,9.7204,5.9356,3.9355,8.4286,6.3857,8.0212,3.7913,13.9126,5.9799,2.8113,10.5499,7.0005,0.6148,9.6280,0.0615,1.1853,17.3397,0.1185,0.0443,0.7465,0.0044,160,,,
China (Hong Kong SAR),HKG,,,China (Hong Kong SAR),False,SAR of China,7536100.0000,True,False,8.8272,5.1410,13.5108,6.4812,3.8292,9.9735,7.6542,9.2602,3.7457,17.7296,5.8381,2.3191,11.4675,7.5491,-0.1051,-1.3727,-0.0105,0.4330,4.9054,0.0433,-0.6431,-9.9233,-0.0643,189,,,
Greenland,GRL,Northwestern Europe,High-income western,Greenland,False,territory (Denmark),56865.0000,False,False,5.5578,3.8784,7.5810,4.8311,3.4229,6.5482,5.1945,5.5821,2.9399,9.2002,4.5918,2.4057,7.6245,5.0869,-0.1075,-2.0700,-0.0108,0.0243,0.4364,0.0024,-0.2393,-4.9535,-0.0239,190,,,
