country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Tokelau,TKL,Polynesia and Micronesia,Pacific island nations,Tokelau,False,territory (NZ),,False,False,20.451306,14.049539,27.826352,21.340789,15.101980,27.951366,20.896048,26.198617,15.016284,39.197156,27.285634,16.272869,40.157411,26.742125,5.846078,27.976955,0.584608,5.747311,28.102414,0.574731,5.944845,27.856726,0.594485,1,,,
Samoa,WSM,Polynesia and Micronesia,Pacific island nations,Samoa,True,,216663.000000,False,False,17.559521,12.434484,23.084163,20.963897,15.229256,27.122454,19.261709,22.657419,13.083368,33.924098,26.571054,16.192685,38.640484,24.614237,5.352527,27.788435,0.535253,5.097898,29.032102,0.509790,5.607157,26.746730,0.560716,2,1.000000,,
Saint Lucia,LCA,The Caribbean,Latin America and the Caribbean,Saint Lucia,True,,179285.000000,False,False,8.509509,5.027952,13.054754,10.373835,6.456877,15.221519,9.441672,13.742205,6.128968,24.091019,15.140602,7.199763,25.882620,14.441404,4.999731,52.953876,0.499973,5.232696,61.492331,0.523270,4.766767,45.949903,0.476677,3,2.000000,,
Niue,NIU,Polynesia and Micronesia,Pacific island nations,Niue,False,"associated state (NZ), not UN member",,False,False,22.031623,16.412449,28.471082,22.540893,16.814815,28.562674,22.286258,26.844416,16.743306,38.316813,27.334389,17.602255,38.264776,27.089402,4.803144,21.552042,0.480314,4.812792,21.844928,0.481279,4.793495,21.265774,0.479350,4,,,
Micronesia (Federated States of),FSM,Polynesia and Micronesia,Pacific island nations,Micronesia (Federated States of),True,,112630.000000,False,False,15.936436,11.750366,21.078455,18.610907,13.950076,23.962786,17.273671,20.514773,12.185121,30.681097,23.373872,14.594732,33.974107,21.944322,4.670651,27.039131,0.467065,4.578337,28.728738,0.457834,4.762964,25.592328,0.476296,5,3.000000,,
Tonga,TON,Polynesia and Micronesia,Pacific island nations,Tonga,True,,104597.000000,False,False,17.920324,12.907966,23.426732,21.205367,15.716984,27.072508,19.562845,21.911042,12.887632,32.592101,26.359919,16.430843,37.619945,24.135481,4.572635,23.374081,0.457264,3.990718,22.269231,0.399072,5.154552,24.307772,0.515455,6,4.000000,,
Egypt,EGY,Middle East and north Africa,"Central Asia, Middle East and north Africa",Egypt,True,,114535772.000000,True,True,12.015738,8.761039,15.831742,14.848892,11.179661,18.992833,13.432315,15.991528,9.962102,23.647575,19.815767,12.868841,28.234272,17.903648,4.471332,33.287875,0.447133,3.975790,33.088187,0.397579,4.966875,33.449463,0.496687,7,5.000000,1.000000,14.000000
Occupied Palestinian Territory,PSE,Middle East and north Africa,"Central Asia, Middle East and north Africa",Occupied Palestinian Territory,False,"UN observer state, not member",5165775.000000,True,False,12.177685,9.301199,15.593221,13.243542,10.289744,16.698184,12.710613,16.520703,10.314067,24.292040,17.463656,11.401046,24.942782,16.992180,4.281566,33.684971,0.428157,4.343018,35.663742,0.434302,4.220115,31.865455,0.422011,8,,,
Iraq,IRQ,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iraq,True,,45074049.000000,True,True,12.782737,9.374984,16.849577,13.504043,10.173979,17.555628,13.143390,17.229994,10.685345,25.338538,17.491442,11.100803,25.411511,17.360718,4.217328,32.087064,0.421733,4.447257,34.791120,0.444726,3.987399,29.527443,0.398740,9,6.000000,2.000000,18.000000
Turkmenistan,TKM,Central Asia,"Central Asia, Middle East and north Africa",Turkmenistan,True,,7364438.000000,True,True,8.559100,5.280895,12.476032,8.051920,5.033095,11.974184,8.305510,12.352292,6.917254,19.631648,11.981872,6.925302,18.777002,12.167082,3.861572,46.494096,0.386157,3.793192,44.317652,0.379319,3.929951,48.807630,0.392995,10,7.000000,3.000000,1.000000
