country,n_adults_1000s_2021,n_ci_2021,prev_2021_pct,prev_ci_2021,source_url,verbatim_fragment,access_date,channel
MENA (region),72671.9,38199.4-81837.4,16.2,8.5-18.3,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Middle East and North Africa –MENA, 72,671.9 (38,199.4–81,837.4), 16.2 (8.5–18.3)",2026-09-04,firecrawl_search
Afghanistan,1606.7,1044.0-1713.5,8.7,5.6-9.2,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Afghanistan 1,606.7 (1,044.0–1,713.5) 8.7 (5.6–9.2)",2026-09-04,firecrawl_search
Bahrain,119.8,117.2-229.4,,,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,Bahrain 119.8 (117.2–229.4),2026-09-04,firecrawl_search
Egypt,10930.7,6986.8-12001.2,,,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Egypt 10,930.7 (6,986.8–12,001.2)",2026-09-04,firecrawl_search
Morocco,2327.7,1895.6-2589.4,,,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Morocco 2,327.7 (1,895.6–2,589.4)",2026-09-04,firecrawl_search
Iraq,2011.4,1487.0-2550.2,9.4,7.0-11.9,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Iraq 2,011.4 (1,487.0–2,550.2) 9.4 (7.0–11.9)",2026-09-04,firecrawl_search
Lebanon,396.1,375.1-781.5,8.9,8.4-17.6,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Lebanon, 396.1 (375.1–781.5), 8.9 (8.4–17.6), 8.0 (7.6–15.4), 159.4 (151.0–314.5)",2026-09-04,firecrawl_search
Libya,399.2,329.8-456.3,9.0,7.5-10.3,https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/,"Libya, 399.2 (329.8–456.3), 9.0 (7.5–10.3), 8.7 (7.2–9.9), 160.7 (132.7",2026-09-04,firecrawl_search
Turkmenistan,223.7,177.4-276.4,6.0,4.8-7.5,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Turkmenistan 223.7 (177.4–276.4) 6.0 (4.8–7.5) 6.7 (5.3–8.3) 88.3 (70.0–109.1) 1,681.1",2026-09-04,firecrawl_search
Azerbaijan,397.1,367.3-429.1,5.6,5.2-6.1,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Azerbaijan, 397.1 (367.3–429.1), 5.6 (5.2–6.1), 5.6 (5.1–6.0), 157.2 (145.4",2026-09-04,firecrawl_search
Papua New Guinea,724.0,417.0-861.4,,,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,Papua New Guinea 724.0 (417.0–861.4) Solomon Islands 53.3 (38.2–58.6) 15.3 (11.0–16.8),2026-09-04,firecrawl_search
Syrian Arab Republic,1484.2,754.8-1841.3,13.6,6.9-16.8,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Syrian Arab Republic, 1,484.2 (754.8–1,841.3), 13.6 (6.9–16.8)",2026-09-04,firecrawl_search
Iran (Islamic Republic of),5450.3,4685.7-6233.2,9.5,8.2-10.9,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Iran (Islamic Republic of) 5,450.3 (4,685.7–6,233.2) 9.5 (8.2–10.9)",2026-09-04,firecrawl_search
Pakistan,32964.5,8492.7-33445.5,,,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Pakistan 32,964.5 (8,492.7–33,445.5)",2026-09-04,firecrawl_search
Yemen,613.9,583.8-2005.3,,,https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/,"Yemen 613.9 (583.8–2005.3) North America and Caribbean",2026-09-04,firecrawl_search
