idf_region,country_idf,footnote,n_adults_1000s_2024,prev_2024_pct,age_adj_prev_2024_pct,undiagnosed_2024_pct,page
AFR,AFR,,24600.0,4.2,5.0,73.0,107
AFR,Angola,,688.8,4.1,4.9,68.8,107
AFR,Benin,,466.8,7.1,8.1,89.8,107
AFR,Botswana,,58.2,3.7,4.6,60.5,107
AFR,Burkina Faso,,372.3,3.4,4.5,90.4,107
AFR,Burundi,,214.1,3.6,4.3,60.2,107
AFR,Cameroon,,774.2,5.6,6.9,73.1,107
AFR,Cabo Verde,,22.0,5.6,6.8,30.8,107
AFR,Central African Republic,,141.1,6.0,7.6,73.1,107
AFR,Chad,,464.2,5.9,7.3,73.1,107
AFR,Comoros,,39.0,8.6,10.8,47.5,107
AFR,Democratic Republic of the Congo,,2859.8,6.3,7.7,73.1,107
AFR,Djibouti,,41.0,5.9,6.5,60.2,107
AFR,Equatorial Guinea,,65.6,7.2,8.2,73.1,107
AFR,Eritrea,,70.2,3.7,4.4,46.1,107
AFR,Eswatini,,40.8,6.1,7.9,61.3,107
AFR,Ethiopia,,2297.3,3.6,4.4,76.4,107
AFR,Gabon,,100.9,7.5,8.5,73.1,107
AFR,Gambia,,54.0,4.1,5.5,78.7,107
AFR,Ghana,,317.4,1.7,2.7,78.7,107
AFR,Guinea,,244.6,3.5,4.6,78.7,107
AFR,Guinea-Bissau,,39.9,3.7,4.8,78.7,107
AFR,Côte d'Ivoire,,529.2,3.7,5.0,78.7,107
AFR,Kenya,,813.3,2.8,3.1,53.6,107
AFR,Lesotho,,63.3,4.8,6.2,58.2,107
AFR,Liberia,,198.1,7.4,9.2,85.1,107
AFR,Madagascar,,599.3,3.8,4.6,68.8,107
AFR,Malawi,,540.1,5.5,5.7,78.7,107
AFR,Mali,,357.4,3.6,4.8,78.7,107
AFR,Mauritania,,95.7,4.0,5.2,78.7,107
AFR,Mayotte,,6.4,4.1,4.6,68.8,107
AFR,Mozambique,,404.5,2.5,3.0,88.6,107
AFR,Namibia,,62.8,4.4,5.3,56.4,107
AFR,Niger,,505.9,4.5,4.1,78.7,107
AFR,Nigeria,,2988.5,2.8,3.0,78.7,107
AFR,Congo,,213.7,7.0,8.1,73.1,107
AFR,Rwanda,,130.8,1.8,2.1,85.6,107
AFR,Sao Tome and Principe,,12.4,10.7,12.1,73.1,107
AFR,Senegal,,251.6,2.9,3.8,78.7,107
AFR,Seychelles,,7.4,9.9,9.3,39.7,107
AFR,Sierra Leone,,170.0,3.7,4.8,78.7,107
AFR,Somalia,,377.6,4.8,5.8,60.2,107
AFR,South Africa,,2324.2,6.1,7.2,70.3,107
AFR,South Sudan,,207.4,4.1,4.6,60.2,107
AFR,Togo,,177.5,3.9,4.8,80.1,107
AFR,Uganda,,369.1,1.7,2.2,61.2,107
AFR,United Republic of Tanzania,,2928.0,9.2,9.8,60.2,107
AFR,Western Sahara,,22.3,5.5,5.8,78.7,107
AFR,Zambia,,750.4,7.6,10.3,86.0,107
AFR,Zimbabwe,,106.5,1.28,1.5,68.8,107
EUR,EUR,,65600.0,9.8,8.0,34.0,109
EUR,Albania,,261.4,12.4,10.6,33.5,109
EUR,Andorra,,7.9,12.5,10.1,28.5,109
EUR,Armenia,,168.1,8.5,7.7,40.6,109
EUR,Austria,,479.4,7.2,5.4,28.5,109
EUR,Azerbaijan,,715.3,9.9,10.2,33.9,109
EUR,Belarus,,445.4,6.3,5.1,29.1,109
EUR,Belgium,,641.6,7.6,5.9,37.0,109
EUR,Bosnia and Herzegovina,,316.4,12.9,10.3,33.5,109
EUR,Bulgaria,,482.0,9.6,7.4,38.1,109
EUR,Croatia,,409.8,13.7,10.5,28.5,109
EUR,Cyprus,,106.1,11.1,10.0,36.6,109
