key,source,url,fragment,access_date,channel
IDF10_top_prev,"IDF Diabetes Atlas 10th ed. (2021), Chapter 3 Global picture, NCBI Bookshelf",https://www.ncbi.nlm.nih.gov/books/NBK581940/,"The highest comparative diabetes prevalence rates in 2021 are reported in Pakistan (30.8%), French Polynesia (25.2%) and Kuwait (24.9%)",2026-09-04,firecrawl_search
IDF10_top_number,"IDF Diabetes Atlas 10th ed. (2021), Chapter 3 Global picture, NCBI Bookshelf",https://www.ncbi.nlm.nih.gov/books/NBK581940/,"The countries with the largest numbers of adults with diabetes aged 20–79 years in 2021 are China, India and Pakistan",2026-09-04,firecrawl_search
IDF10_mena,"IDF Diabetes Atlas 10th ed. (2021), Chapter 3 Global picture, NCBI Bookshelf",https://www.ncbi.nlm.nih.gov/books/NBK581940/,"The MENA Region has the highest comparative prevalence of diabetes (18.1%) in people aged 20–79 years in 2021",2026-09-04,firecrawl_search
IDF10_sources,"IDF Diabetes Atlas 10th ed. (2021), Chapter 3 Global picture, NCBI Bookshelf",https://www.ncbi.nlm.nih.gov/books/NBK581940/,"In total, 219 data sources from 144 countries were included in the analysis",2026-09-04,firecrawl_search
IDF10_global,"Sun H. et al. 2022, Diabetes Res Clin Pract, PMC11057359 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"The global diabetes prevalence in 20-79 year olds in 2021 was estimated to be 10.5% (536.6 million people), rising to 12.2% (783.2 million) in 2045",2026-09-04,firecrawl_research_search_papers
IDF10_global_pmcpage,"Sun H. et al. 2022, PMC11057359 (PMC page text)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"In 2021, we estimate that there were 536.6 million people with diabetes (uncertainty interval: 424.2–612.3 million) among adults ages 20–79 in in 215 countries and territories",2026-09-04,firecrawl_search
IDF10_pakistan_pmc,"Sun H. et al. 2022, PMC11057359 (PMC page text)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"The country with the highest prevalence at 31% is Pakistan which is projected to have a prevalence of over 34% in 2045",2026-09-04,firecrawl_search
IDF11_sources,"IDF Diabetes Atlas 11th ed. (2025) PDF, p.28",s3 bucket IDF (see S5),"246 data sources from 153 countries were selected",2026-09-04,curl S3 + local text
IDF11_lack,"IDF Diabetes Atlas 11th ed. (2025) PDF, p.7",s3 bucket IDF (see S5),"In this edition, 62 out of 215 countries or territories (29%) lack in-country data",2026-09-04,curl S3 + local text
IDF11_vs_ncdrisc,"IDF Diabetes Atlas 11th ed. (2025) PDF, p.8",s3 bucket IDF (see S5),"the recent WHO/NCD-RisC publication estimated that 828 million people aged 18 years or older had diabetes in 2022, considerably more than estimates provided in this IDF Diabetes Atlas (589 million) for 2024",2026-09-04,curl S3 + local text
IDF11_top_prev,"IDF Diabetes Atlas 11th ed. (2025) PDF, p.46",s3 bucket IDF (see S5),"The highest age-standardised diabetes prevalence rates in 2024 were reported in Pakistan (31.4%), Marshall Islands (25.7%), and Kuwait (25.6%) (Table 3.5)",2026-09-04,curl S3 + local text
NCDRISC2016_global,"NCD-RisC Lancet 2016, PMC5081106 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5081106/,"Global age-standardised diabetes prevalence increased from 4.3% (95% credible interval 2.4-7.0) in 1980 to 9.0% (7.2-11.1) in 2014 in men, and from 5.0% (2.9-7.9) to 7.9% (6.4-9.7) in women",2026-09-04,firecrawl_research_search_papers
NCDRISC2016_regions,"NCD-RisC Lancet 2016, PMC5081106 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5081106/,"Age-standardised adult diabetes prevalence in 2014 was lowest in northwestern Europe, and highest in Polynesia and Micronesia, at nearly 25%, followed by Melanesia and the Middle East and north Africa. In 2014, American Samoa had the highest national prevalence of diabetes (>30%",2026-09-04,firecrawl_research_search_papers
NCDRISC2016_number,"NCD-RisC Lancet 2016, PMC5081106 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5081106/,"The number of adults with diabetes in the world increased from 108 million in 1980 to 422 million in 2014",2026-09-04,firecrawl_research_search_papers
NCDRISC2024_global,"NCD-RisC Lancet 2024, PMC7616842 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7616842/,"In 2022, an estimated 828 million (95% credible interval [CrI] 757-908) adults (those aged 18 years and older) had diabetes, an increase of 630 million (554-713) from 1990",2026-09-04,firecrawl_research_search_papers
NCDRISC2024_lmic,"NCD-RisC Lancet 2024, PMC7616842 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7616842/,"The largest increases were in low-income and middle-income countries in southeast Asia (eg,",2026-09-04,firecrawl_research_search_papers
WHO2024_prev,"WHO news release 13.11.2024",https://www.who.int/news/item/13-11-2024-urgent-action-needed-as-global-diabetes-cases-increase-four-fold-over-past-decades,"The study reports that global diabetes prevalence in adults rose from 7% to 14% between 1990 and 2022. LMICs experienced the largest increases",2026-09-04,firecrawl_search
WHO2024_regions,"WHO news release 13.11.2024",https://www.who.int/news/item/13-11-2024-urgent-action-needed-as-global-diabetes-cases-increase-four-fold-over-past-decades,"the prevalence of diabetes among adults aged 18 and older around 20% in the WHO South-East Asia and the Eastern Mediterranean Regions",2026-09-04,firecrawl_search
WHO2024_untreated,"WHO news release 13.11.2024",https://www.who.int/news/item/13-11-2024-urgent-action-needed-as-global-diabetes-cases-increase-four-fold-over-past-decades,"in 2022, almost 450 million adults aged 30 and older – about 59% of all adults with diabetes – remained untreated",2026-09-04,firecrawl_search
WHO_factsheet,"WHO fact sheet Diabetes (14.11.2024)",https://www.who.int/news-room/fact-sheets/detail/diabetes,"The number of people living with diabetes rose from 200 million in 1990 to 830 million in 2022",2026-09-04,firecrawl_search
V_EGY_alex,"pmid:30056190 Alexandria, Egypt (abstract)",https://pubmed.ncbi.nlm.nih.gov/30056190/,"We found an age-adjusted prevalence of diabetes of 16.8% (men, 12.7%; women 19.1%)",2026-09-04,firecrawl_research_search_papers
V_EGY_sohag,"PMC8212402 Sohag, Egypt 2019 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC8212402/,"The prevalence of DM was 20.9% (95% CI 19.3% to 22.5%). The prevalence in females (23.8%; 95% CI 21.4% to 26.3%) was significantly higher than in males (18.9%",2026-09-04,firecrawl_research_search_papers
V_EGY_review,"pmid:27108148 Hegazi et al. review (abstract)",https://pubmed.ncbi.nlm.nih.gov/27108148/,"Currently, the prevalence of type 2 diabetes (T2D) in Egypt is around 15.6% of all adults aged 20 to 79",2026-09-04,firecrawl_research_search_papers
V_IRQ_steps,"PMC9684960 Iraq STEPS 2015 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9684960/,"The prevalence of UT2D was 8.1% and the prevalence of diagnosed T2D (DT2D) was 8.9%",2026-09-04,firecrawl_research_search_papers
V_IRQ_basrah,"PMC4014373 Basrah, Iraq (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4014373/,"A population-based, cross-sectional, simple random study screened 5,445 persons aged 19-94 years in Basrah ... Of the 5,445 persons screened, 8.7% had already been",2026-09-04,firecrawl_research_search_papers
V_LBN_national,"pmid:25005850 Lebanon national survey (abstract)",https://pubmed.ncbi.nlm.nih.gov/25005850/,"a cross-sectional national survey of 2195 Lebanese adults aged ≥25 years was conducted based on the WHO STEPwise guidelines. RESULTS: The prevalence of type 2 diabetes was 8.5% (95%CI=7.3-9.7)",2026-09-04,firecrawl_research_search_papers
V_LBN_2017,"PMC6233908 Lebanon (abstract, cites 2017 estimate)",https://pmc.ncbi.nlm.nih.gov/articles/PMC6233908/,"As of 2017, the prevalence of diabetes in Lebanon is estimated to be 14.6%",2026-09-04,firecrawl_research_search_papers
V_MAR_steps,"PMC9515107 Morocco STEPS 2017 (abstract)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9515107/,"the prevalence of undiagnosed T2D was 5.9% (44.7% of total T2D), diagnosed T2D 7.3% and total T2D 13.2%",2026-09-04,firecrawl_research_search_papers
V_MAR_2000,"pmid:12714863 Morocco national survey 2000 (abstract)",https://pubmed.ncbi.nlm.nih.gov/12714863/,"The prevalence of diabetes was 6.6% and was similar for males and females",2026-09-04,firecrawl_research_search_papers
V_YEM_sanaa,"pmid:15339127 Sana'a, Yemen (abstract)",https://pubmed.ncbi.nlm.nih.gov/15339127/,"The crude prevalence of known diabetes was 6.57% (95% CI: 5.2-8.2) ... The age-standardized prevalence for the age range 30-64 years was 9.75% (95% CI: 7.55-11.95) for diabetes",2026-09-04,firecrawl_research_search_papers
V_YEM_semirural,"pmid:18557451 semirural Yemen (abstract)",https://pubmed.ncbi.nlm.nih.gov/18557451/,"a sample of 250 adults aged > or = 35 years in a semirural area near Sana'a ... The overall crude prevalence of diabetes was 10.4%",2026-09-04,firecrawl_research_search_papers
V_PNG_wanigela,"pmid:8208193 Wanigela, PNG (abstract)",https://pubmed.ncbi.nlm.nih.gov/8208193/,"Age-standardised prevalence of NIDDM in Koki Wanigelas was 27.5% in men and 33.0% in women",2026-09-04,firecrawl_research_search_papers
V_PNG_urban,"pmid:7000592 Port Moresby, PNG (abstract)",https://pubmed.ncbi.nlm.nih.gov/7000592/,"15.8% of urban residents had diabetes mellitus",2026-09-04,firecrawl_research_search_papers
V_TKM_gdm,"pmid:23867899 Turkmenistan GDM (abstract)",https://pubmed.ncbi.nlm.nih.gov/23867899/,"Data on the prevalence of gestational diabetes (GDM) is not available for Turkmenistan or any other central Asian country",2026-09-04,firecrawl_research_search_papers
IDF10_table5,"Sun H. et al. 2022, PMC11057359, Table 5 (PMC page)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"Table 5 – Top 10 countries or territories when ranked by the number of adults (20–79 years) with diabetes in 2021 and 2045 | 1 China 140.9 | 2 India 74.2 | 3 Pakistan 33.0 | 4 USA 32.2 | 5 Indonesia 19.5 | 6 Brazil 15.7 | 7 Mexico 14.1 | 8 Bangladesh 13.1 | 9 Japan 11.0 | 10 Egypt 10.9",2026-09-04,firecrawl_search
IDF10_table4,"Sun H. et al. 2022, PMC11057359, Table 4 (PMC page)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"Table 4 – Top 10 countries or territories when ranked by age-adjusted comparative diabetes prevalence | 1 Pakistan 30.8 | 2 French Polynesia 25.2 | 3 Kuwait 24.9 | ... | 10 Egypt 20.9",2026-09-04,firecrawl_search
IDF10_discussion,"Sun H. et al. 2022, PMC11057359 (PMC page)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/,"Compared to the previous 9th IDF Diabetes Atlas edition, we report an overall 12.9% increase in diabetes prevalence",2026-09-04,firecrawl_search
IMPERIAL_USA,"Imperial College London news, Diabetes rate doubles to 800 million adults (snippet)",https://www.imperial.ac.uk/news/258217/diabetes-rate-doubles-800-million-adults/,"Among high-income industrialised nations, diabetes rates in 2022 were highest in the USA (11.4% amongst in women and 13.6% in men)",2026-09-04,firecrawl_search
