country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Egypt,EGY,Middle East and north Africa,"Central Asia, Middle East and north Africa",Egypt,True,,114535772.0000,True,True,12.0157,8.7610,15.8317,14.8489,11.1797,18.9928,13.4323,15.9915,9.9621,23.6476,19.8158,12.8688,28.2343,17.9036,4.4713,33.2879,0.4471,3.9758,33.0882,0.3976,4.9669,33.4495,0.4967,7,5.0000,1.0000,14.0000
Iraq,IRQ,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iraq,True,,45074049.0000,True,True,12.7827,9.3750,16.8496,13.5040,10.1740,17.5556,13.1434,17.2300,10.6853,25.3385,17.4914,11.1008,25.4115,17.3607,4.2173,32.0871,0.4217,4.4473,34.7911,0.4447,3.9874,29.5274,0.3987,9,6.0000,2.0000,18.0000
Turkmenistan,TKM,Central Asia,"Central Asia, Middle East and north Africa",Turkmenistan,True,,7364438.0000,True,True,8.5591,5.2809,12.4760,8.0519,5.0331,11.9742,8.3055,12.3523,6.9173,19.6316,11.9819,6.9253,18.7770,12.1671,3.8616,46.4941,0.3862,3.7932,44.3177,0.3793,3.9300,48.8076,0.3930,10,7.0000,3.0000,1.0000
Lebanon,LBN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Lebanon,True,,5773493.0000,True,True,10.0103,6.5412,14.4887,9.1702,5.9122,13.2503,9.5903,14.4659,8.6658,21.7656,12.2357,7.3501,18.4959,13.3508,3.7605,39.2121,0.3761,4.4556,44.5103,0.4456,3.0655,33.4287,0.3065,12,9.0000,4.0000,5.0000
Papua New Guinea,PNG,Melanesia,Pacific island nations,Papua New Guinea,True,,10389635.0000,True,True,11.8544,7.6213,17.0503,10.9131,6.9820,15.8915,11.3837,15.3570,7.4396,25.8939,14.3211,7.1128,24.3107,14.8391,3.4553,30.3532,0.3455,3.5026,29.5472,0.3503,3.4080,31.2286,0.3408,17,14.0000,5.0000,21.0000
Morocco,MAR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Morocco,True,,37712505.0000,True,True,10.3215,7.3402,13.9296,10.2744,7.3881,13.8543,10.2979,14.0417,8.3888,21.4632,13.3969,8.0999,20.5184,13.7193,3.4214,33.2237,0.3421,3.7202,36.0432,0.3720,3.1225,30.3914,0.3123,20,17.0000,6.0000,15.0000
Yemen,YEM,Middle East and north Africa,"Central Asia, Middle East and north Africa",Yemen,True,,39390799.0000,True,True,8.7826,5.5176,12.8947,7.1823,4.3927,10.7565,7.9825,12.5920,6.6533,20.5520,10.1445,5.3459,17.0046,11.3682,3.3858,42.4149,0.3386,3.8093,43.3734,0.3809,2.9622,41.2428,0.2962,22,19.0000,7.0000,3.0000
Azerbaijan,AZE,Central Asia,"Central Asia, Middle East and north Africa",Azerbaijan,True,,10153958.0000,True,True,8.2809,4.9493,12.3261,9.5643,6.0786,13.8418,8.9226,11.5722,6.2166,18.6005,13.0271,7.2403,20.3009,12.2996,3.3771,37.8486,0.3377,3.2913,39.7460,0.3291,3.4628,36.2058,0.3463,23,20.0000,8.0000,8.0000
Libya,LBY,Middle East and north Africa,"Central Asia, Middle East and north Africa",Libya,True,,7305659.0000,True,True,11.8936,9.1544,15.2431,13.3427,10.3367,16.7769,12.6182,15.1971,9.4798,22.5191,16.5917,10.7432,23.8329,15.8944,3.2762,25.9644,0.3276,3.3035,27.7755,0.3304,3.2490,24.3500,0.3249,24,21.0000,9.0000,32.0000
Saudi Arabia,SAU,Middle East and north Africa,"Central Asia, Middle East and north Africa",Saudi Arabia,True,,33702731.0000,True,True,14.1845,10.9841,18.1581,13.9902,10.9478,17.7511,14.0874,17.6140,11.4711,25.3945,17.0134,11.0979,24.4124,17.3137,3.2263,22.9021,0.3226,3.4294,24.1772,0.3429,3.0232,21.6094,0.3023,26,23.0000,10.0000,47.0000
Syrian Arab Republic,SYR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Syrian Arab Republic,True,,23594623.0000,True,True,10.8817,8.1020,14.1412,11.9836,9.1742,15.3272,11.4327,13.9684,8.5426,21.0272,15.2886,9.6232,22.4379,14.6285,3.1959,27.9537,0.3196,3.0866,28.3653,0.3087,3.3051,27.5799,0.3305,27,24.0000,11.0000,28.0000
Iran,IRN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iran (Islamic Republic of),True,,90608707.0000,True,True,8.3976,6.5885,10.4098,9.5569,7.5475,11.6280,8.9772,11.3852,7.1674,17.1688,12.8603,8.4471,18.7781,12.1227,3.1455,35.0388,0.3146,2.9876,35.5767,0.2988,3.3034,34.5661,0.3303,28,25.0000,12.0000,12.0000
