country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Turkmenistan,TKM,Central Asia,"Central Asia, Middle East and north Africa",Turkmenistan,True,,7364438.0000,True,True,8.5591,5.2809,12.4760,8.0519,5.0331,11.9742,8.3055,12.3523,6.9173,19.6316,11.9819,6.9253,18.7770,12.1671,3.8616,46.4941,0.3862,3.7932,44.3177,0.3793,3.9300,48.8076,0.3930,10,7.0000,3.0000,1.0000
Tajikistan,TJK,Central Asia,"Central Asia, Middle East and north Africa",Tajikistan,True,,10389799.0000,True,True,7.0236,3.9806,10.8741,6.8779,3.9795,10.7240,6.9508,10.2708,5.1125,17.4294,9.9071,5.0727,16.4377,10.0890,3.1382,45.1487,0.3138,3.2472,46.2325,0.3247,3.0292,44.0420,0.3029,29,26.0000,13.0000,2.0000
Yemen,YEM,Middle East and north Africa,"Central Asia, Middle East and north Africa",Yemen,True,,39390799.0000,True,True,8.7826,5.5176,12.8947,7.1823,4.3927,10.7565,7.9825,12.5920,6.6533,20.5520,10.1445,5.3459,17.0046,11.3682,3.3858,42.4149,0.3386,3.8093,43.3734,0.3809,2.9622,41.2428,0.2962,22,19.0000,7.0000,3.0000
Uzbekistan,UZB,Central Asia,"Central Asia, Middle East and north Africa",Uzbekistan,True,,35652307.0000,True,True,7.4337,4.4828,11.2225,7.5062,4.5834,11.2759,7.4700,10.4834,5.6352,16.9444,10.7044,5.8769,16.8243,10.5939,3.1240,41.8204,0.3124,3.0497,41.0248,0.3050,3.1983,42.6082,0.3198,31,28.0000,15.0000,4.0000
Lebanon,LBN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Lebanon,True,,5773493.0000,True,True,10.0103,6.5412,14.4887,9.1702,5.9122,13.2503,9.5903,14.4659,8.6658,21.7656,12.2357,7.3501,18.4959,13.3508,3.7605,39.2121,0.3761,4.4556,44.5103,0.4456,3.0655,33.4287,0.3065,12,9.0000,4.0000,5.0000
Central African Republic,CAF,Central and southern Africa,Sub-Saharan Africa,Central African Republic,True,,5152421.0000,True,True,5.7788,3.0661,9.7739,5.4897,2.9818,9.6003,5.6342,7.9801,3.5192,15.4262,7.6084,3.5399,14.7978,7.7943,2.1600,38.3372,0.2160,2.2013,38.0920,0.2201,2.1187,38.5952,0.2119,53,48.0000,25.0000,6.0000
Uganda,UGA,East Africa,Sub-Saharan Africa,Uganda,True,,48656601.0000,True,True,3.0044,1.4131,5.4231,3.6246,1.8569,6.3105,3.3145,4.4018,2.0566,7.8421,4.7369,2.3421,8.2434,4.5693,1.2548,37.8589,0.1255,1.3974,46.5100,0.1397,1.1123,30.6880,0.1112,109,103.0000,60.0000,7.0000
Azerbaijan,AZE,Central Asia,"Central Asia, Middle East and north Africa",Azerbaijan,True,,10153958.0000,True,True,8.2809,4.9493,12.3261,9.5643,6.0786,13.8418,8.9226,11.5722,6.2166,18.6005,13.0271,7.2403,20.3009,12.2996,3.3771,37.8486,0.3377,3.2913,39.7460,0.3291,3.4628,36.2058,0.3463,23,20.0000,8.0000,8.0000
Burundi,BDI,East Africa,Sub-Saharan Africa,Burundi,True,,13689450.0000,True,True,2.9778,1.4040,5.3539,3.1112,1.5217,5.5477,3.0445,4.2383,1.7970,7.9226,4.0934,1.8150,7.6616,4.1659,1.1214,36.8336,0.1121,1.2606,42.3319,0.1261,0.9822,31.5710,0.0982,120,114.0000,69.0000,9.0000
Angola,AGO,Central and southern Africa,Sub-Saharan Africa,Angola,True,,36749906.0000,True,True,6.1393,3.4429,9.9745,5.8782,3.3146,10.0018,6.0088,8.5194,3.8432,16.1583,7.8255,3.6053,15.0970,8.1725,2.1637,36.0087,0.2164,2.3801,38.7674,0.2380,1.9473,33.1275,0.1947,52,47.0000,24.0000,10.0000
Kyrgyzstan,KGZ,Central Asia,"Central Asia, Middle East and north Africa",Kyrgyzstan,True,,7099750.0000,True,True,7.4199,4.4038,11.1727,7.8631,4.8500,11.7067,7.6415,9.9323,5.2875,16.1144,10.8247,5.9263,17.2874,10.3785,2.7370,35.8177,0.2737,2.5125,33.8612,0.2512,2.9616,37.6640,0.2962,37,33.0000,17.0000,11.0000
Iran,IRN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iran (Islamic Republic of),True,,90608707.0000,True,True,8.3976,6.5885,10.4098,9.5569,7.5475,11.6280,8.9772,11.3852,7.1674,17.1688,12.8603,8.4471,18.7781,12.1227,3.1455,35.0388,0.3146,2.9876,35.5767,0.2988,3.3034,34.5661,0.3303,28,25.0000,12.0000,12.0000
