member_state,wiki_link,date_of_admission,source_url,access_date,channel
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,19 November 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Albania,https://en.wikipedia.org/wiki/Albania,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Algeria,https://en.wikipedia.org/wiki/Algeria,8 October 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Andorra,https://en.wikipedia.org/wiki/Andorra,28 July 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Angola,https://en.wikipedia.org/wiki/Angola,1 December 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,11 November 1981,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Argentina,https://en.wikipedia.org/wiki/Argentina,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Armenia,https://en.wikipedia.org/wiki/Armenia,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Australia,https://en.wikipedia.org/wiki/Australia,1 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Austria,https://en.wikipedia.org/wiki/Austria,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
"Bahamas, The",https://en.wikipedia.org/wiki/The_Bahamas,18 September 1973,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bahrain,https://en.wikipedia.org/wiki/Bahrain,21 September 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,17 September 1974,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Barbados,https://en.wikipedia.org/wiki/Barbados,9 December 1966,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Belarus,https://en.wikipedia.org/wiki/Belarus,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Belgium,https://en.wikipedia.org/wiki/Belgium,27 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Belize,https://en.wikipedia.org/wiki/Belize,25 September 1981,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Benin,https://en.wikipedia.org/wiki/Benin,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bhutan,https://en.wikipedia.org/wiki/Bhutan,21 September 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bolivia,https://en.wikipedia.org/wiki/Bolivia,14 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,22 May 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Botswana,https://en.wikipedia.org/wiki/Botswana,17 October 1966,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Brazil,https://en.wikipedia.org/wiki/Brazil,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Brunei,https://en.wikipedia.org/wiki/Brunei,21 September 1984,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Burundi,https://en.wikipedia.org/wiki/Burundi,18 September 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Cabo Verde,https://en.wikipedia.org/wiki/Cape_Verde,16 September 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Cambodia,https://en.wikipedia.org/wiki/Cambodia,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Cameroon,https://en.wikipedia.org/wiki/Cameroon,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Canada,https://en.wikipedia.org/wiki/Canada,9 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Chad,https://en.wikipedia.org/wiki/Chad,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Chile,https://en.wikipedia.org/wiki/Chile,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
China,https://en.wikipedia.org/wiki/China,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Colombia,https://en.wikipedia.org/wiki/Colombia,5 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Comoros,https://en.wikipedia.org/wiki/Comoros,12 November 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,2 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Côte d'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Croatia,https://en.wikipedia.org/wiki/Croatia,22 May 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Cuba,https://en.wikipedia.org/wiki/Cuba,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Cyprus,https://en.wikipedia.org/wiki/Cyprus,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Czechia,https://en.wikipedia.org/wiki/Czech_Republic,19 January 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Democratic People's Republic of Korea,https://en.wikipedia.org/wiki/Democratic_People's_Republic_of_Korea,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Denmark,https://en.wikipedia.org/wiki/Danish_Realm,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Djibouti,https://en.wikipedia.org/wiki/Djibouti,20 September 1977,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Dominica,https://en.wikipedia.org/wiki/Dominica,18 December 1978,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Ecuador,https://en.wikipedia.org/wiki/Ecuador,21 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Egypt,https://en.wikipedia.org/wiki/Egypt,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
El Salvador,https://en.wikipedia.org/wiki/El_Salvador,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,12 November 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Eritrea,https://en.wikipedia.org/wiki/Eritrea,28 May 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Estonia,https://en.wikipedia.org/wiki/Estonia,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Eswatini,https://en.wikipedia.org/wiki/Eswatini,24 September 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,13 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
