member_state,date_of_admission,source_url,access_date,channel
Afghanistan,19 November 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Albania,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Algeria,8 October 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Andorra,28 July 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Angola,1 December 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Antigua and Barbuda,11 November 1981,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Argentina,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Armenia,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Australia,1 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Austria,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Azerbaijan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
"Bahamas, The",18 September 1973,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Bahrain,21 September 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Bangladesh,17 September 1974,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Barbados,9 December 1966,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Belarus,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
