Index,Field,New,Rename,Merge,Delete,Type,Main,Example,Note
MEDIA,_id,,,,,auto,,8414113629,
MEDIA,_index,,,,,auto,,media,
MEDIA,_score,,,,,auto,,-,
MEDIA,annotations.title,,wikifier.concepts.name,,,list_strings,CONCEPTS,"[Arabic alphabet, Comma]",
MEDIA,annotations.url,,wikifier.concepts.url,,,list_urls,,"[http://en.wikipedia.org/wiki/Arabic_alphabet, http://en.wikipedia.org/wiki/Comma]",
MEDIA,wikifier.concepts.class,x,,,,list_strings,,"[city,big city]",
MEDIA,wikifier.concepts.classID,x,,,,list_strings,,"[Q515,Q1549591]",
MEDIA,areas_of_action,,pilot,,,string,,Action area 1: capacity building,
MEDIA,authors.isAgency,,,,x,boolean,,FALSE,
MEDIA,authors.name,,,,,list_strings,AUTHOR,"[Dave Burke, Sophie Huskisson]",
MEDIA,authors.type,,,,,list_strings,,"[author, author]",
MEDIA,authors.uri,,,,,string,,ruth_king@ruthfullyyours.com,
MEDIA,body,,,,,long string,CONTENT,"Hamas and the Immorality of the ""Decolonial"" Intellectuals by Alex Joffe and Asaf Romirowsky

Posted By Ruth King on October 15th, 2023

https://nationalinterest.org/feature/hamas-and-immorality-decolonial-intellectuals-206933

Left-wing intellectual fads aligned with horrific terrorism do not belong in higher education.

Intellectuals have a deep addiction to terror. From the French revolutionaries of the late 18th century who invoked Jean Jacques Rousseau to the physician ideologues of ISIS like Ayman al-Zawahiri, intellectuals have been at the forefront of justifying and instigating mass violence.",
MEDIA,categories.label,,,,,list_strings,,"[dmoz/Society/Issues/Economic, news/Business]",
MEDIA,categories.uri,,,,,list_urls,,"[dmoz/Society/Issues/Economic, news/Business]",
MEDIA,categories.wgt,,,,,integer,,"[100, 100]",
MEDIA,concepts.label.eng,,,,,classes,,"[Congreso Futuro, The Thinker, University of Chile, Artificial intelligence, Sculpture, Auguste Rodin, Science, Rector (academia), Popular science, Futurism, Centrism, Intellectual, Latin America, Technology, Singing, Metal, Casa Central de la Universidad de Chile, Juan Manuel de Rosas, Perception, Welfare, Senate of the Republic (Mexico), Chamber of Deputies of Chile, University, Street, Chile]","wikification of ""body""

NOT extract concepts that are Location"
MEDIA,concepts.location.label.eng,,,,,list_strings,,"[Russia, Nicaragua, Israel]",
MEDIA,concepts.location.lat,,,,,list_flloats,,"[21, 21, 21, 21, 21, 21, 21, 31.922, 2.5, 21, 21, 31.922]",
MEDIA,concepts.location.long,,,,,list_flloats,,"[57, 57, 57, 57, 57, 57, 57, 35.203, 112.5, 57, 57, 35.203]",
MEDIA,concepts.location.type,,,,,list_strings,,"[country, country, country, country, country, country, country, country, country, country, country, country]",
MEDIA,concepts.location.label.code,,,,,list_strings,,"[RUS, NIC, ISR]",
MEDIA,concepts.score,,,,,list_flloats,,"[5, 5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1]",
MEDIA,concepts.type,,,wikifier.concepts.name,,list_strings,,"[wiki, loc, wiki, wiki, wiki, wiki, wiki, wiki, wiki, loc, wiki, loc",
MEDIA,concepts.uri,,,wikifier.concepts.url,,list_urls,,"[http://es.wikipedia.org/wiki/Congreso_Futuro, http://en.wikipedia.org/wiki/The_Thinker, http://en.wikipedia.org/wiki/University_of_Chile, http://en.wikipedia.org/wiki/Artificial_intelligence, http://en.wikipedia.org/wiki/Sculpture, http://en.wikipedia.org/wiki/Auguste_Rodin, http://en.wikipedia.org/wiki/Science, http://en.wikipedia.org/wiki/Rector_(academia), http://en.wikipedia.org/wiki/Popular_science, http://en.wikipedia.org/wiki/Futurism, http://en.wikipedia.org/wiki/Centrism, http://en.wikipedia.org/wiki/Intellectual, http://en.wikipedia.org/wiki/Latin_America, http://en.wikipedia.org/wiki/Technology, http://en.wikipedia.org/wiki/Singing, http://en.wikipedia.org/wiki/Metal, http://es.wikipedia.org/wiki/Casa_Central_de_la_Universidad_de_Chile, http://en.wikipedia.org/wiki/Juan_Manuel_de_Rosas, http://en.wikipedia.org/wiki/Perception, http://en.wikipedia.org/wiki/Welfare, http://en.wikipedia.org/wiki/Senate_of_the_Republic_(Mexico), http://en.wikipedia.org/wiki/Chamber_of_Deputies_of_Chile, http://en.wikipedia.org/wiki/University, http://en.wikipedia.org/wiki/Street, http://en.wikipedia.org/wiki/Chile]",
MEDIA,dataType,,,,,string,,news,
MEDIA,date,,,,,date,DATE,"Dec 28, 2023 @ 01:00:00.000",
MEDIA,dateTime,,,,,date,,"Dec 28, 2023 @ 13:46:24.000",
MEDIA,dateTimePub,,,,,date,,"Dec 28, 2023 @ 13:42:48.000",
MEDIA,eventUri,,,,,string,,zho-1859146,ER news event ID
