Index,Long Name,Indicators Short Name,SDG
1,Country,Country,0
2,Year,Year,0
3,Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0,Life Expectancy Gap (F-M),3
4,Low-carbon electricity - % electricity,Low-carbon Electricity %,7
5,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Health Expenditure % GDP,3
6,Rate of Fire: heat: and hot substances deaths,Fire-related deaths,3
7,Death rate from mental and substance use disorders among both sexes,Mental & Substance Deaths,3
8,Gas electricity per capita - kWh,Gas Electricity per Capita,7
9,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Anemia Prevalence in Women of reproductive age ,3
10,Tomatoes | 00000388 || Production | 005510 || tonnes,Tomato Production,2
11,Percent of Total burden related to hepatitis C deaths,Hepatitis C Burden %,3
12,Share of global cumulative CO₂ emissions,Global CO₂ Emissions,13
13,Death rate from falls among both sexes,Fall-related Deaths,3
14,Democracy,Democracy Index,16
15,Civil liberties rating FH,Civil Liberties Rating,16
16,Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Paid Maternity Leave,8
17,Unemployment: total (% of total labor force) (modeled ILO estimate),Total Unemployment %,8
18,Percent of Diarrheal diseases deaths,Diarrheal Disease Deaths,3
19,Contraceptive prevalence: any modern method (% of married women ages 15-49),Contraceptive Use (married F),3
20,Equal resource distribution index (best estimate),Equal Resource Distribution,10
21,Annual change in primary energy consumption (%),Change in Primary Energy Consumption,10
22,Woman chief executive,Woman Chief Executive,5
23,Civil liberties index (best estimate: aggregate: average),Civil Liberties Index,10
24,Per-capita greenhouse gas emissions in CO₂ equivalents,Percapita Greenhouse Gas,13
25,Share of global annual CO₂ emissions from flaring,Yearly CO₂ emissions from flaring,13
26,Renewables - % electricity,Renewables % Electricity,7
27,Elected local governments (best estimate),Elected Local Governments,16
28,Human rights protection,Human Rights Protection,16
29,Inflation: consumer prices (annual %),Inflation Consumer Prices,12
30,Fixed broadband subscriptions (per 100 people),Fixed Broadband Subscriptions,9
31,Population in the largest city (% of urban population),Population in the Largest City,11
32,Hydro electricity per capita - kWh,Hydro Electricity Percapita,6
33,Percent of Rabies deaths,Percent Rabies Deaths,3
34,GPI Score,GPI Score,16
35,Share of global cumulative CO₂ emissions from land-use change,CO₂ emissions from land-use,13
36,17.13.1 - Annual GDP growth (%) - NY_GDP_MKTP_KD_ZG,Annual GDP Growth,8
37,Trade (% of GDP),Trade (% of GDP),8
38,Percent of Falls deaths,Percent Falls Deaths,3
39,Fruit | 00002919 || Food available for consumption | 0645pc || kilograms per year per capita,Fruit consumption,2
40,Percent of Kidney cancer deaths,Percent Kidney Cancer,3
41,Sorghum yield,Sorghum Yield,2
42,Births attended by skilled health staff (% of total),Births Attended Skilled,3
43,Percent of Maternal disorders deaths,Maternal disorders deaths %,3
44,World Bank's income classification,World Banks Income,1
45,Wheat | 00000015 || Production | 005510 || tonnes,Wheat Production,2
46,Physical violence index (best estimate: aggregate: average),Physical Violence Index,3
47,Engaged society (best estimate),Engaged Society Estimate,11
48,Extent of direct popular votes (best estimate: aggregate: average),Direct Popular Votes Estimate,16
49,Military expenditure per armed forces personnel (constant US$),Military Expenditure,16
50,Capture fisheries production (metric tons),Capture Fisheries Production,14
51,Gini coefficient of lifespan inequality - Sex: male,Male Gini coefficient of Lifespan,1
52,Rate of Uterine cancer deaths,Uterine cancer deaths,3
53,Percent of Police conflict and executions deaths,Police Conflict Deaths %,16
54,Case fatality ratio (percentage),Case Fatality Ratio,3
55,Average precipitation in depth (mm per year),Average Precipitation Depth,6
56,Percent of Foreign body deaths,Foreign Body Deaths %,16
57,Share of global cumulative CO₂ emissions including land-use change,Global CO₂ Emmissions,13
58,State involved in conflict - Conflict type: state-based,State Involved Conflict,16
59,Percent of Meningitis deaths,Meningitis Deaths %,3
60,Observation value - Unit of measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Infant mortality rate,3
61,Milk | 00001780 || Yield | 005420 || kilograms per animal,Milk yield,2
62,Judicial constraints on the executive index (best estimate),Executive Judicial Constraints,16
63,Rate of Adverse effects of medical treatment deaths,Effects of medical treatment deaths,3
64,Food exports (% of merchandise exports),Food Exports,2
65,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate) - Sex: both sexes - Age group: 18+  years,Raised Fasting Blood Glucose 18+,3
66,Share of global food emissions,Share of Global Food Emissions,2
67,Rate of Total burden related to hepatitis C deaths,Hepatitis C deaths burden,3
68,Value of global merchandise imports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value Global Merchandise Imports,8
69,The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The Law Grants,16
70,Legislative elections,Legislative Elections,16
71,Vaccination schedule for Inactivated Polio Vaccine (IPV),Inactivated Polio Vaccine,3
72,Percent of Testicular cancer deaths,Testicular Cancer deaths %,3
73,Gross enrolment ratio: secondary: both sexes (%),"Gross Enrolment Ratio, secondary",4
74,Share of cereals that are allocated to human food,Share Cereals in Human Food,2
75,Justified political positions (best estimate),Justified Political Positions,16
76,Temperature,Temperature,13
77,Share of cereals that are allocated to animal feed,Share Cereals in Animal Food,2
78,Percent of Total cancers deaths,Total Cancer Deaths %  ,3
79,Estimated maternal mortality ratio,Estimated Maternal Mortality,3
80,Rate of Alcohol use disorders deaths,Alcohol Use Deaths,3
81,Taxes including social contributions (as a share of GDP),Taxes and Social Contributions,9
82,Political civil liberties index (best estimate: aggregate: average),Political Civil Liberties,10
83,Middle 40% - Share-pretax,Middle Sharepretax,10
84,Cumulative CO₂ emissions from flaring,Cumulative CO₂ emissions from flaring,13
85,School enrollment: preprimary (% gross),School Enrollment Preprimary,4
86,Rate of Self-harm deaths,Rate Selfharm Deaths,3
87,GDP per person employed (constant 2017 PPP $),GDP Per Employed Person,1
88,Death rate from diarrhoeal diseases among both sexes,Death from Diarrhoeal Diseases,3
89,Share of global cumulative CO₂ emissions from cement,Cement's Share of Global CO₂ Emissions,13
90,Percent of Chronic kidney disease deaths,Chronic Kidney Disease Deaths %,3
91,Meat: poultry | 00001808 || Yield | 005424 || kilograms per animal,Poultry Meat Yield,2
92,Number of slave ships departed,Number Slave Ships,10
93,Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD): model-based estimates,Overweight Children Under 5 Years,3
94,Share of global annual CO₂ emissions from land-use change,CO₂ emissions from land-use change,13
95,Percent of Stroke deaths,Stroke Deaths %,3
96,Percent of Total burden related to hepatitis B deaths,Hepatitis B deaths burden %,3
97,Wind - % electricity,Wind Electricity %,7
98,Liberal component index (best estimate),Liberal Component Index,16
99,Rate of Rabies deaths,Rate Rabies Deaths,3
100,There is legislation on sexual harassment in employment (1=yes; 0=no),Law on Sex Harassment in Employment ,8
101,Percent of Environmental heat and cold exposure deaths,Environmental Heat and Cold Exposure Deaths %,13
102,Meat of cattle with the bone: fresh or chilled | 00000867 || Yield | 005417 || kilograms per animal,Cattle Meat with Bones ( fresh or chilled yield ),2
103,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years,Obesity among adult men,3
104,Meat: chicken | 00001058 || Production | 005510 || tonnes,Chicken Meat Production,2
105,Birth rate - Sex: all - Age: all - Variant: estimates,Birth Rate Sex,3
106,Access to justice for women (best estimate) (re-estimate),Access Justice For Women,5
107,Solar - % electricity,Solar Electricity %,7
108,Neonatal tetanus - number of reported cases per million,Neonatal Tetanus ,3
109,Percent of Prostate cancer deaths,Prostate Cancer Deaths %,3
110,Percent of Other unintentional injuries deaths,Other Unintentional Injuries Deaths %,3
111,Gender Inequality Index,Gender Inequality Index,5
112,2.1.1 Prevalence of undernourishment | 000000000024000 || Value | 006121 || Percent,Prevalence of undernourishment %,3
113,Rate of Environmental heat and cold exposure deaths,Environmental heat and cold exposure deaths,13
114,Share of the population using at least basic drinking water services,Population Basic Drinking Water Services,6
115,Terrorism deaths per 100:000 people,Terrorism Deaths ,16
116,Death rate - Sex: all - Age: all - Variant: estimates,Death Rate  ,3
117,Rate of Malaria deaths,Malaria Deaths,3
118,Percent of Cervical cancer deaths,Cervical Cancer Deaths %,3
119,Percent of Asthma deaths,Asthma Deaths,3
120,Terrain Ruggedness Index 100m (Nunn and Puga 2012),Terrain Ruggedness Index,15
121,A woman can open a bank account in the same way as a man (1=yes; 0=no),Woman Can Open Bank Account,5
122,9.2.2 - Manufacturing employment as a proportion of total employment - 13th ICLS (%) - SL_TLF_MANF,Manufacturing Employment Proportion,8
123,Annual freshwater withdrawals: industry (% of total freshwater withdrawal),Freshwater Withdrawals by Industry,6
124,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: both sexes - Age group: 18+  years,Both Sexes Obesity Among Adults,3
125,Rate of Multiple sclerosis deaths,Multiple Sclerosis Deaths,3
126,Equal rights protection index (best estimate),Equal Rights Protection,10
127,Death rate from natural disasters among both sexes,Death rate from natural disasters,11
128,Share of employment in agriculture (Herrendorf et al. and GGDC-10 data),Share Employment in Agriculture,2
129,Percent of Eating disorders deaths,Eating Disorder Deaths %,3
130,Woman head of government,Woman Head of Government,5
131,Share of adults who are overweight (age-standardized) - Sex: female - Age group: 18+  years,Female Adults Overweight ,3
132,Percent of Road injuries deaths,Road Injuries Deaths %,3
133,Classification of past colonial powers,Classification of Past Colonial Powers,16
134,Competitiveness of political participation,Competitiveness of Political Participation,16
135,Death rate from meningitis among both sexes,Meningitis Death Rate,3
136,Direct popular vote index,Direct Popular Vote Index,16
137,State involved in war - Conflict type: all,State Involved in War,16
138,Rate of Ovarian cancer deaths,Ovarian cancer deaths,3
139,Poverty headcount ratio at national poverty lines (% of population),Poverty Headcount Ratio,1
140,Percent of Bladder cancer deaths,Bladder cancer deaths,3
141,DTP3 (% of one-year-olds immunized),One-year-olds immunized,3
142,Total days of leave available for the mother,Days of leave for mother,8
143,Country where war took place - Conflict type: state-based,Country Where War Existed,16
144,Age-standardized death rate from hypertensive heart disease among both sexes,Hypertensive heart disease deaths,3
145,Country where conflict took place - Conflict type: all,Country Where Conflict Existed,16
146,Rate of Conflict and terrorism deaths,Conflict and terrorism deaths,16
147,Measles - number of reported cases,Measles Cases Reported,3
148,Percent of Brain and central nervous system cancer deaths,Brain and CNS cancer deaths %,3
149,Share of the population not using improved sanitation facilities,Population not using improved sanitation facilities,6
150,Rate of Interpersonal violence deaths,Interpersonal Violence Deaths,16
151,Rate of HIV/AIDS deaths,HIV-AIDS deaths,3
152,Annual CO₂ emissions from gas (per capita),Annual CO₂ emissions from gas (per capita),13
153,Multi-party elections for government's chief executive (best estimate),Gov Multiparty Elections,16
154,Physicians (per 1:000 people),Physicians per 1k people,3
155,Rate of Measles deaths,Measles Deaths,3
156,Participatory political institutions (best estimate),Participatory Political Institutions,16
157,Labor force participation rate: female (% of female population ages 15+) (modeled ILO estimate),Labor Force Participation (F),8
158,State involved in conflict - Hostlev: all,State Involved in Conflict,16
159,Share of the rural population using at least basic drinking water services,Basic Drinking Water Services (rural),6
160,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Beer,Beer Consumption,2
161,Mean BMI (male),Mean BMI (M),3
162,Percent of Measles deaths,Measles Deaths %,3
163,Rate of Brain and central nervous system cancer deaths,Brain and CNS cancer deaths,3
164,Age-standardized death rate from rheumatic heart disease among both sexes,Rheumatic heart disease deaths,3
165,Commercial bank branches (per 100:000 adults),Commercial bank branches,9
166,Military expenditure (% of GDP) GMSD,Military Expenditure GMSD,16
167,Share of global cumulative CO₂ emissions from gas,Share of global cumulative CO₂ emissions from gas,13
168,Share of the population using at least basic sanitation services: improved sanitation facilities which are not shared,Basic Sanitation Services,6
169,Vaccination schedule for rubella vaccine,Rubella Vaccine,3
170,Nuclear - % electricity,Nuclear Electricity,7
171,Total deaths from meningitis among both sexes,Deaths From Meningitis,3
172,Percent of Breast cancer deaths,Breast Cancer Deaths %,3
173,Eggs | 00002949 || Food available for consumption | 0645pc || kilograms per year per capita,Eggs consumption,2
174,Percent of Malaria deaths,Malaria Deaths %,3
175,Rate of Asthma deaths,Rate Asthma Deaths,3
176,Percent of Zika virus deaths,Zika Virus Deaths %,3
177,GDP per capita: PPP (constant 2017 international $),GDP Per Capita (PPP),10
178,Territory under state control (best estimate: aggregate: average),Territory Under State Control,16
179,Percent of Tetanus deaths,Tetanus Deaths %,3
180,Potatoes yield,Potatoes Yield,2
181,Share of global nitrous oxide emissions,Share of global nitrous oxide emissions,13
182,Meat: total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita,Total Meat Consumption,2
183,Percent of Fire: heat: and hot substances deaths,Fire and heat-related deaths %,3
184,Life expectancy at birth UNDP,Life expectancy at birth UNDP,3
185,Rate of Exposure to mechanical forces deaths,Mechanical forces-related deaths,3
186,Equal access to power index (best estimate),Equal Access to Power Index,10
187,Barley yield,Barley Yield,2
188,Rate of Animal contact deaths,Animal Contact Deaths,3
189,Cumulative CO₂ emissions from land-use change,Total CO₂ emissions from land-use,13
190,Gender Development Index,Gender Development Index,5
191,Rate of Foreign body deaths,Foreign Body Deaths,3
192,Rate of Kidney cancer deaths,Kidney Cancer Deaths,3
193,Prevalence of overweight among children and adolescents: BMI > +1 standard deviations above the median (crude estimate) (%) - Sex: both sexes - Age group: 5-19  years,Overweight Among Children and Adolescents,3
194,Life expectancy at birth,Life Expectancy at Birth,3
195,Ten year age-group with the highest population,Largest Ten Year Age-group,0
196,Share of adults who are overweight (age-standardized) - Sex: both sexes - Age group: 18+  years,Overweight Adults,3
197,The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),Law Prohibits Gender Discrimination,5
198,Liberal political institutions (best estimate) (re-estimate),Liberal Political Institutions,16
199,Political regime (liberal democracy),Liberal Democracy Regime,16
200,Augmented Human Development Index (AHDI),Augmented Human Development Index,17
201,Percent of Leukemia deaths,Leukemia Deaths %,3
202,Access to electricity (% of population),Access to electricity,7
203,Rye yield,Rye Yield,2
204,Share of adults who are overweight (age-standardized) - Sex: male - Age group: 18+  years,Overweight Adults (male),3
205,Nutrient phosphate P2O5 (total) | 00003103 || Use per area of cropland | 005159 || Kilograms per hectare,Nutrient phosphate P2O5 ,13
206,Solar and wind electricity per capita - kWh,Solar And Wind Electricity,7
207,Percent of Total burden related to Non-alcoholic fatty liver disease (NAFLD) deaths,NAFLD deaths %,3
208,Death rate from alcohol use disorders among both sexes,Alcohol use disorder deaths,3
209,Refugees by country of origin per 100:000 people,Refugees Country Origin,16
210,Military personnel as a share of total population,Military Personnel Share,16
211,Women's civil society participation index (best estimate: aggregate: average),Womens Civil Society Participation,5
212,Estimated HIV in incident tuberculosis,HIV Incident Tuberculosis,3
213,Rate of Total Cancers excluding Non-melanoma skin cancer deaths,Rate Total Cancers ( - skin cancer),3
214,Women Business and the Law Index Score (scale 1-100),Women Business and the Law ,5
215,Political regime lexical,Political Regime Lexical,16
216,Vegetables | 00002918 || Food available for consumption | 0645pc || kilograms per year per capita,Vegetables Consumption,2
217,Between 90th and 99th percentiles - Share-pretax,Share-pretax,1
218,Oats yield,Oats Yield,2
219,Decadal average surface temperature,Decadal Average Surface Temperature,13
220,Women and men have equal ownership rights to immovable property (1=yes; 0=no),Gender-equal House Ownership Rights,5
221,Expected years of schooling,Expected Years of Schooling,4
222,Death rate from tuberculosis among both sexes,Tuberculosis Death,3
223,Share of global annual CO₂ emissions from oil,CO₂ emissions from oil,13
224,Gini coefficient of lifespan inequality - Sex: female,Gini Coefficient Inequality (F),1
225,6.4.2 - Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%) - ER_H2O_STRESS - No breakdown,Level Water Stress,6
226,Percent of Parkinson's disease deaths,Parkinsons Disease deaths %,3
227,Percent of Uterine cancer deaths,Uterine Cancer deaths %,3
228,Share of global greenhouse gas emissions,Global Greenhouse Gas Emissions,13
229,Woman head of state,Woman Head of State,5
230,Gini coefficient,Gini Coefficient,1
231,Potatoes yield split,Potatoes Yield Split,2
232,Average years of schooling,Average Years Schooling,4
233,CO₂ emissions covered by an ETS as a share of the country's CO₂ emissions,ETS CO₂ emissions ,13
234,MCV1 (% of one-year-olds immunized),MCV1,3
235,Domestic general government health expenditure (% of current health expenditure),Domestic Government Health Expenditure,3
236,Percent of Poisonings deaths,Poisonings Deaths %,3
237,Annual CO₂ emissions (per capita),Annual CO₂ emissions ,13
238,Death rate from cocaine use disorders among both sexes,Cocaine use Deaths,3
239,Percent of Conflict and terrorism deaths,Conflict and terrorism deaths %,16
240,Bottom 50% - Share-pretax,Bottom Sharepretax,1
241,Rate of Total burden related to hepatitis B deaths,Hepatitis B deaths,3
242,Rate of Maternal disorders deaths,Maternal Disorder deaths,3
243,Sex ratio - Sex: all - Age: 5 - Variant: estimates,Sex Ratio Age 5,0
244,fertilizer_per_capita,Fertilizer per capita,13
245,Case detection rate (all forms),Case Detection Rate,0
246,Food's share of total emissions (incl. LULUFC),Foods Share of Emmissions,13
247,Free political regime,Free Political Regime,16
248,Per-capita nitrous oxide emissions in CO₂ equivalents,Nitrous oxide emissions in CO₂,13
249,Rate of Zika virus deaths,Zika Virus Deaths,2
250,Vienna Convention and Montreal Protocol (Parties Subscribing each Year),Vienna Convention and Montreal Protocol ,17
251,Total days of leave available for the father,Leave Available for the Father,8
252,Nuclear weapons status,Nuclear Weapons Status,7
253,Fossil fuels - % electricity,Fossil Fuels Electricity,7
254,Aquaculture production (metric tons),Aquaculture Production,14
255,Rate of Falls deaths,Rate of Falls Deaths,3
256,Percent of Alzheimer's disease and other dementias deaths,Alzheimers Disease and dementias deaths %,3
257,Top 1% - Share (Pretax) (Estimated),Top Share Pretax,1
258,Competitive elections,Competitive Elections,16
259,Political corruption index (best estimate: aggregate: average),Political Corruption Index,16
260,Electoral democracy index (best estimate: aggregate: average),Electoral Democracy Index,16
261,Unemployment: female (% of female labor force) (modeled ILO estimate),Female Unemployment,5
262,Gross enrolment ratio: primary: both sexes (%),"Gross Enrolment Ratio, primary",16
263,Carbon intensity of electricity - gCO₂/kWh,Carbon Intensity of Electricity,7
264,Death rate from interpersonal violence among both sexes,Interpersonal Violence Deaths rate,3
265,Total deaths from dengue among both sexes,Dengue Deaths,3
266,Richest decile - Share (Net national wealth) (Estimated),"Net national wealth, richest 10%",8
267,Age-standardized death rate from cardiomyopathy: myocarditis: endocarditis among both sexes,Cardiomyopathy Deaths,3
268,Completion rate: upper secondary education: both sexes (%): CR.3,Secundary Education Completion,4
269,6.6.1 - Lakes and rivers permanent water area (% of total land area) - EN_LKRV_PWAP,Lakes And Rivers Permanent Water,6
270,Child dependency ratio - Sex: all - Variant: estimates,Child Dependency Ratio,3
271,Estimated mortality from all forms of tuberculosis per 100:000 population,Estimated Mortality From Tuberculosis,3
272,Global merchandise exports (% of GDP),Global Merchandise Exports,9
273,Milk - Excluding Butter | 00002848 || Food available for consumption | 0645pc || kilograms per year per capita,Milk - excluding butter consumption,2
274,Palma ratio (Pretax) (Estimated),Palma ratio (Pretax) ,8
275,Armed forces personnel (% of total population),Armed Forces Personnel,16
276,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy Intensity Level,7
277,Competitiveness of executive recruitment,Competitiveness Executive Recruitment,8
278,Freedom of Expression and Alternative Sources of Information index (best estimate),Freedom Expression And Info,16
279,7.2.1 - Renewable energy share in the total final energy consumption (%) - EG_FEC_RNEW,Renewable Energy Consumption,12
280,Urban population (% of total population),Urban Population,11
281,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Wine,Wine Consumption,3
282,Respect for counterarguments (best estimate),Respect For Counterarguments,16
283,Death rate from drug use disorders among both sexes,Drug use-related Deaths,3
284,Number of slave ships arrived,Number of Slave Ships Arrived,0
285,Annual CO₂ emissions including land-use change per capita,Annual CO₂ emissions including land-use,13
286,Pesticides (total) | 00001357 || Use per area of cropland | 005159 || Kilograms per hectare,Pesticides (total) indicator,2
287,Cumulative CO₂ emissions from cement,Cumulative CO₂ emissions from cement,13
288,Fossil fuel electricity per capita - kWh,Fossil Fuel Electricity,7
289,Completion rate: primary education: both sexes (%): CR.1,Primary Education Completion,4
290,nitrogen_efficiency,Nitrogen Efficiency,7
291,Mean HDL cholesterol: age-standardized - Sex: both sexes,Mean HDL cholesterol,3
292,All fertilizers use per area of cropland,Fertilizers use per area of cropland,2
293,Per capita carbon dioxide emissions from transport,CO₂ emissions from transport,13
294,Rate of Alzheimer's disease and other dementias deaths,Rate Alzheimers Disease deaths,3
295,The law prohibits discrimination in employment based on gender (1=yes; 0=no),Law prohibits gender discrimination in employment,5
296,There is paid parental leave (1=yes; 0=no),Paid Parental Leave,8
297,Renewable electricity per capita - kWh,Renewable Electricity Per Capita,7
298,Rate of Testicular cancer deaths,Testicular Cancer Death,3
299,Death rate from substance use disorders among both sexes,Substance use Deaths,3
300,Clean elections index (best estimate),Clean Elections Index,16
301,Gross national income per capita,Gross National Income,8
302,Meat: pig | 00001035 || Yield | 005417 || kilograms per animal,Meat - pig yield,2
303, Spending on education (% of GDP),Spending on Education,4
304,Percent of Dengue deaths,Dengue Deaths %,3
305,output_quantity,Output Quantity,0
306,Eggs | 00001783 || Yield | 005410 || kilograms per animal,Eggs yield,2
307,Consumer price index (2010 = 100),Consumer Price Index,12
308,8.2.1 - Annual growth rate of real GDP per employed person (%) - SL_EMP_PCAP,Annual Growth Rate,8
309,Solar and wind - % electricity,Solar And Wind %,7
310,Rigorous and impartial public administration (best estimate: aggregate: average),Rigorous and impartial public administration,16
311,Rate of Neonatal disorders deaths,Neonatal disorders deaths,3
312,Mean Non-HDL cholesterol: age-standardized - Sex: both sexes,Mean Nonhdl Cholesterol,3
313,Foreign Direct Investmen in millions of 2015 dollars outflow,Foreign Direct Investmen,17
314,Rate of Prostate cancer deaths,Prostate Cancer Deaths,3
315,Share of the rural population using at least basic sanitation services: improved sanitation facilities which are not shared,Rural basic sanitation services,6
316,Rate of Breast cancer deaths,Breast Cancer Deaths,3
317,Share of the population using improved water sources,Improved water sources use,6
318,Solar electricity per capita - kWh,Solar Electricity Per Capita,7
319,Death rate from parkinson disease among both sexes,Parkinson disease deaths,3
320,Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),Equal Rights of Sons And Daughters,5
321,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Female Life expectancy,3
322,Annual CO₂ emissions from flaring (per capita),Annual CO₂ emissions from flaring (per capita),13
323,Nuclear electricity per capita - kWh,Nuclear Electricity Per Capita,7
324,Share of global forest area,Global Forest Area,15
325,Land use (per capita): Agriculture,Land Use in Agriculture,15
326,Rate of Poisonings deaths,Poisoning-related Deaths,3
327,Gross enrolment ratio for tertiary education: both sexes (%): GER.5T8,Tertiary education enrolment,4
328,Annual freshwater withdrawals: agriculture (% of total freshwater withdrawal),Agriculture Freshwater Withdrawals,6
329,Transparent laws with predictable enforcement (best estimate) (re-estimate),Transparent Laws With Enforcement,16
330,Women's share of population ages 15+ living with HIV (%),Women Population with HIV,3
331,Total greenhouse gas emissions per capita excluding land-use change and forestry,Total Greenhouse Gas Emmissions,13
332,Legislative constraints on the executive index (best estimate),Legislative Constraints on the Executive,16
333,The law is free of legal provisions that require a married woman to obey her husband  (1=yes; 0=no),Law Free of man-women obbligation,16
334,Reported cases of guinea worm disease in humans,Guinea worm disease in humans,3
335,Age-standardized death rate from stroke among both sexes,Stroke-related deaths,3
336,Military spending (% of GDP),Military Spending,16
337,Death rate from poisonings among both sexes,Poisoning Death Rate,3
338,Vaccination schedule for mumps vaccine,Mumps vaccine,3
339,Percent of Interpersonal violence deaths,Interpersonal Violence Deaths %,3
340,Wind electricity per capita - kWh,Wind Electricity Per Capita,7
341,Rate of Tetanus deaths,Tetanus Deaths,3
342,Rate of Eating disorders deaths,Eating Disorder Deaths,3
343,lead_petrol_banned,Lead petrol banned,7
344,Rate of Dengue deaths,Rate of Dengue Deaths,3
345,Rate of Total burden related to Non-alcoholic fatty liver disease (NAFLD) deaths,Non-alcoholic fatty liver disease (NAFLD) deaths,3
346,Share of the population practicing open defecation,Open defecation,6
347,Elected officials index,Elected Officials Index,16
348,A woman can apply for a passport in the same way as a man (1=yes; 0=no),Woman Can Apply,5
349,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,Death from ongoing conflicts,3
350,Daily smoking prevalence - both (IHME: GHDx (2012)),Daily Smoking Prevalence,3
351,Change in global mean surface temperature caused by greenhouse gas emissions from fossil fuels and industry,Change in Temperature from Fossil fuels,13
352,Share of global annual CO₂ emissions from gas,CO₂ emissions from gas,13
353,Rate of Meningitis deaths,Rate Meningitis Deaths,3
354,Wheat yield split,Wheat yield split,2
355,Share of global annual CO₂ emissions from cement,chare of gloval annual CO₂ emissions from cement,13
356,Estimated maternal mortality ratio SDG,Maternal mortality ratio SDG,3
357,Cereals | 00001717 || Yield | 005419 || tonnes per hectare,Cereals yield,2
358,Per-capita methane emissions in CO₂ equivalents,Percapita Methane Emissions,13
359,Political opposition,Political Opposition,16
360,Terrorism deaths,Terrorism Deaths,16
361,Death rate from malignant neoplasms among both sexes,Death from malignant neoplasms,3
362,Daily calorie supply per person,Daily Calorie Supply,2
363,Mean BMI (female),Mean BMI (Female),1
364,Death rate from drowning among both sexes,Death rate from drowning,3
365,Percent of Drowning deaths,Percent Drowning Deaths,3
366,Percent of Adverse effects of medical treatment deaths,Medical treatment deaths,3
367,Population: female (% of total population),Population Female,11
368,Share of the population using improved sanitation facilities,Population using improved sanitation facilities,6
369,Sex ratio - Sex: all - Age: 0 - Variant: estimates,Sex Ratio Newborn,0
370,Renewable internal freshwater resources per capita (cubic meters),Renewable Internal Freshwater,6
371,Elite consultation (best estimate),Elite Consultation,1
372,Percent of Exposure to mechanical forces deaths,Percent of Exposure to mechanical forces deaths,3
373,Fixed telephone subscriptions (per 100 people),Fixed Telephone Subscriptions,9
374,Foreign Direct Investmen in millions of 2015 dollars inflow,Foreign Direct Investment inflow,17
375,Rate of Exposure to forces of nature deaths,Exposure to forces of nature deaths,3
376,Top 1% - Share-pretax,Top Sharepretax,8
377,A woman can choose where to live in the same way as a man (1=yes; 0=no),Woman and Man Choice of Living,5
378,Employment to population ratio: 15+: female (%) (modeled ILO estimate),Employment Population Ratio,8
379,Period life expectancy (with projections) - Sex: all - Age: 15,Life expectancy 15+ for all sexes,3
380,Percent of Neonatal disorders deaths,Neonatal disorders deaths %,3
381,Share of global annual CO₂ emissions from coal,CO₂ emissions from coal,13
382,Rate of Diabetes mellitus deaths,Diabetes mellitus deaths,3
383,Percent of Drug use disorders deaths,Drug use disorders deaths,3
384,Rate of Total cancers deaths,Total cancers deaths,3
385,Life expectancy ratio (f/m) - Type: period - Sex: both - Age: 0,Life expectancy ratio (f-m),3
386,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic General Government Health Expenditure,16
387,Rate of Drowning deaths,Rate Drowning Deaths,3
388,share_employed_agri,Share of Employment in Agriculture,2
389,Age-standardized death rate from cardiovascular diseases among both sexes,Cardiovascular diseases among both sexes,3
