"iso3","year","high_altitude_dummy","over1k","over2k","over1k_source","over2k_source","high_altitude_dummy_source"
"AFG",2011,1,0.766789615154266,0.511077880859375,"GBD2015","GBD2015","GBD2015"
"AGO",2011,1,0.601438641548157,0.000205685399123468,"GBD2015","GBD2015","GBD2015"
"AND",2011,1,1,0.783041477203369,"GBD2015","GBD2015","GBD2015"
"ARM",2011,1,0.910492777824402,0.28854438662529,"GBD2015","GBD2015","GBD2015"
"AUT",2011,1,0.209498167037964,0.0255577005445957,"GBD2015","GBD2015","GBD2015"
"AZE",2011,1,0.166763871908188,0.0370830968022346,"GBD2015","GBD2015","GBD2015"
"BDI",2011,1,0.992903888225555,0.0477311350405216,"GBD2015","GBD2015","GBD2015"
"BOL",2011,1,0.615032613277435,0.517572402954102,"GBD2015","GBD2015","GBD2015"
"BTN",2011,1,0.675165176391602,0.39575320482254,"GBD2015","GBD2015","GBD2015"
"CHE",2011,1,0.172191247344017,0.0439966917037964,"GBD2015","GBD2015","GBD2015"
"CHL",2011,1,0.370902299880981,0.221011608839035,"GBD2015","GBD2015","GBD2015"
"CHN",2011,1,0.157273784279823,0.0365655720233917,"GBD2015","GBD2015","GBD2015"
"CMR",2011,1,0.23409777879715,0,"GBD2015","GBD2015","GBD2015"
"COD",2011,1,0.268707424402237,0.0311822202056646,"GBD2015","GBD2015","GBD2015"
"COL",2011,1,0.615674197673798,0.423870176076889,"GBD2015","GBD2015","GBD2015"
"CRI",2011,1,0.469131648540497,0.0541635863482952,"GBD2015","GBD2015","GBD2015"
"ECU",2011,1,0.466747254133224,0.411392629146576,"GBD2015","GBD2015","GBD2015"
"ERI",2011,1,0.671997427940369,0.122850447893143,"GBD2015","GBD2015","GBD2015"
"ETH",2011,1,0.916152596473694,0.479763209819794,"GBD2015","GBD2015","GBD2015"
"GEO",2011,1,0.284298688173294,0.0705155655741692,"GBD2015","GBD2015","GBD2015"
"GTM",2011,1,0.650212645530701,0.182399019598961,"GBD2015","GBD2015","GBD2015"
"IRN",2011,1,0.718021512031555,0.188151001930237,"GBD2015","GBD2015","GBD2015"
"KAZ",2011,1,0.168360188603401,0.044867642223835,"GBD2015","GBD2015","GBD2015"
"KEN",2011,1,0.785529613494873,0.148504659533501,"GBD2015","GBD2015","GBD2015"
"KGZ",2011,1,0.961623191833496,0.528697073459625,"GBD2015","GBD2015","GBD2015"
"LBN",2011,1,0.350116282701492,0.0230404790490866,"GBD2015","GBD2015","GBD2015"
"LSO",2011,1,0.999479174613953,0.642251431941986,"GBD2015","GBD2015","GBD2015"
"MAR",2011,1,0.176723703742027,0.0281574614346027,"GBD2015","GBD2015","GBD2015"
"MDG",2011,1,0.397451102733612,0.00147299305535853,"GBD2015","GBD2015","GBD2015"
"MEX",2011,1,0.644997656345367,0.368702739477158,"GBD2015","GBD2015","GBD2015"
"MNG",2011,1,0.916578352451324,0.135680601000786,"GBD2015","GBD2015","GBD2015"
"NAM",2011,1,0.863901555538177,0,"GBD2015","GBD2015","GBD2015"
"NPL",2011,1,0.396016657352448,0.142658218741417,"GBD2015","GBD2015","GBD2015"
"PAK",2011,1,0.0897324755787849,0.0338347777724266,"GBD2015","GBD2015","GBD2015"
"PER",2011,1,0.494319498538971,0.370117366313934,"GBD2015","GBD2015","GBD2015"
"PNG",2011,1,0.424298942089081,0.161204501986504,"GBD2015","GBD2015","GBD2015"
"RWA",2011,1,1,0.226431593298912,"GBD2015","GBD2015","GBD2015"
"SAU",2011,1,0.232398763298988,0.0224855523556471,"GBD2015","GBD2015","GBD2015"
"TJK",2011,1,0.523312449455261,0.262256920337677,"GBD2015","GBD2015","GBD2015"
"TUR",2011,1,0.358483910560608,0.0519729889929295,"GBD2015","GBD2015","GBD2015"
"TWN",2011,1,0.203740268945694,0.0724854618310928,"GBD2015","GBD2015","GBD2015"
"TZA",2011,1,0.654508888721466,0.00991323404014111,"GBD2015","GBD2015","GBD2015"
"UGA",2011,1,0.937582314014435,0.0361018031835556,"GBD2015","GBD2015","GBD2015"
"UZB",2011,1,0.118603192269802,0.0377306938171387,"GBD2015","GBD2015","GBD2015"
"YEM",2011,1,0.737119078636169,0.375415295362473,"GBD2015","GBD2015","GBD2015"
"ZAF",2011,1,0.536593496799469,0.00187224091496319,"GBD2015","GBD2015","GBD2015"
