code	claim	source	url	tier
A-JP-1	B7-001	高齢者の医療の確保に関する法律 (e-Gov)	https://laws.e-gov.go.jp/law/357AC0000000080	T1
A-JP-1	B7-002	特定健康診査及び特定保健指導の実施に関する基準 (e-Gov)	https://laws.e-gov.go.jp/law/419M60000100157	T1
A-JP-1	B7-003	特定健康診査及び特定保健指導の実施に関する基準 (e-Gov)	https://laws.e-gov.go.jp/law/419M60000100157	T1
A-JP-1	B6-010	MHLW 標準的な健診・保健指導プログラム (PDF)	https://www.mhlw.go.jp/content/10900000/001231390.pdf	T1
A-JP-1	B6-011	PMC4008026	pmcid:PMC4008026	T1
A-JP-2	B6-024	MHLW 後期高齢者支援金（2017年度）の加算・減算の方法	https://www.mhlw.go.jp/content/12401000/001294108.pdf	T1
A-JP-2	B6-025	MHLW 後期高齢者支援金（2019年度）の加算について	https://www.mhlw.go.jp/content/12401000/000761454.pdf	T1
A-JP-2	B7-006	MHLW PDF 後期高齢者支援金（2017年度）の加算・減算の方法	https://www.mhlw.go.jp/content/12401000/001294108.pdf	T1
A-JP-3	B6-012	MHLW 職場のあんぜんサイト; MHLW PDF 0000136750	https://anzeninfo.mhlw.go.jp/yougo/yougo51_1.html	T1
A-CN-1	B7-028	国家卫生健康委员会	https://www.nhc.gov.cn/ylyjs/gzdt/202406/41c64b9fd9774352af22f5274c1e831d.shtml	T1
A-CN-1	B7-029	国家卫生健康委员会	https://www.nhc.gov.cn/ylyjs/gzdt/202406/41c64b9fd9774352af22f5274c1e831d.shtml	T1
A-CN-1	B7-030	国家卫生健康委员会	https://www.nhc.gov.cn/ylyjs/gzdt/202406/41c64b9fd9774352af22f5274c1e831d.shtml	T1
A-CN-1	B7-031	国家卫生健康委员会	https://www.nhc.gov.cn/wjw/c100378/202504/f94979ff66e0418aa5d610d12a12c848.shtml	T1
A-CN-1	B7-032	国家卫生健康委员会	https://www.nhc.gov.cn/bgt/c100023/202602/73b8afd52eff4be4980ac5431cefa190.shtml	T1
A-SG-1	B7-034	HPB Measures for Nutri-Grade	https://www.hpb.gov.sg/healthy-living/food-and-beverage/nutri-grade/	T1
A-SG-1	B7-035	HPB Measures for Nutri-Grade	https://www.hpb.gov.sg/healthy-living/food-and-beverage/nutri-grade/	T1
A-SG-1	B7-036	HPB Measures for Nutri-Grade	https://www.hpb.gov.sg/healthy-living/food-and-beverage/nutri-grade/	T1
A-SG-1	B6-074	HPB Measures for Nutri-Grade	https://www.hpb.gov.sg/healthy-living/food-and-beverage/nutri-grade/	T1
A-SG-1	B7-037	MOH press release 30.12.2021	https://www.moh.gov.sg/newsroom/mandatory-nutrition-labelling-and-advertising-prohibitions-for-nutri-grade-beverages-from-30-december-2022/	T1
A-DK-1	B3-001	Retsinformation, Lov nr. 247 af 30/03/2011	https://www.retsinformation.dk/eli/lta/2011/247/pdf	T1
A-DK-1	B3-005	Retsinformation, BEK 2014/708 (ссылка)	https://www.retsinformation.dk/eli/lta/2014/708/dan/pdf	T1
A-DK-1	B7-064	Retsinformation	https://www.retsinformation.dk/eli/lta/2011/247/pdf	T1
A-DK-1	B7-066	Bødker et al., Prev Med 2015 (pmid:25982852)	https://pubmed.ncbi.nlm.nih.gov/25982852/	T1
A-DK-1	B3-002	Dahl et al., Nudging Nutrition (arXiv 2312.11481)	https://arxiv.org/abs/2312.11481	T2
A-HU-1	B3-013	Nemzeti Jogszabálytár, 2011. évi CIII. tv.	https://njt.hu/jogszabaly/2011-103-00-00	T1
A-HU-1	B3-014	njt.hu 3. §	https://njt.hu/jogszabaly/2011-103-00-00.1	T1
A-HU-1	B3-015	njt.hu ставки	https://njt.hu/jogszabaly/2011-103-00-00.8	T1
A-IN-1	B5-008	CBSE Circular Acad-26/2025	https://cbseacademic.nic.in/web_material/Circulars/2025/26_Circular_2025.pdf	T1
A-IN-1	B5-009	CBSE Circular Acad-45/2025	https://cbseacademic.nic.in/web_material/Circulars/2025/45_Circular_2025.pdf	T1
A-IN-2	B5-001	FSSAI Gazette Notification (Safe Food and Balanced Diets for Children in School)	https://fssai.gov.in/docs/food-law/regulations/Gazette_Notification_Safe_Food_Children_07_09_2020.pdf	T1
A-IN-2	B5-002	FSSAI Food Safety and Standards Regulations	https://fssai.gov.in/cms/food-safety-and-standards-regulations.php	T1
A-IN-2	B5-003	PMC8477491 Food environment in and around schools and colleges of Delhi	https://pmc.ncbi.nlm.nih.gov/articles/PMC8477491/	T1
A-IN-3	B5-022	pmid:41247585 OSSI survey	https://pubmed.ncbi.nlm.nih.gov/41247585/	T1
A-IN-3	B5-023	IRDAI search listing	https://irdai.gov.in/ (поиск, см. раздел 5)	T1
A-IN-3	B5-024	Проспект Magma Insurance (ссылка на IRDAI 2019)	https://www.magmainsurance.com/documents/5553002/5844234/Prospectus+%E2%80%93+Double+Suraksha+%28w.e.f.+1st+Oct%2C+2024%29.pdf	T3
A-US-1	B7-053	CMS fact sheet	https://www.cms.gov/newsroom/fact-sheets/anniversary-inflation-reduction-act-update-cms-implementation	T1
A-US-1	B7-054	CMS fact sheet	https://www.cms.gov/newsroom/fact-sheets/anniversary-inflation-reduction-act-update-cms-implementation	T1
A-US-1	B7-055	pmid:42378410	https://pubmed.ncbi.nlm.nih.gov/42378410/	T1
A-US-1	B6-099	PMC13242632	pmcid:PMC13242632	T1
A-US-1	B6-100	PMC11325206	pmcid:PMC11325206	T1
A-US-1	B6-101	PubMed 39102595	pmid:39102595	T1
A-US-2	B7-056	eCFR 29 CFR 2590.702	https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XXV/subchapter-L/part-2590/subpart-B/section-2590.702	T1
A-US-2	B7-057	Final rule, Fed Reg 2013 (pmid:23734399)	https://pubmed.ncbi.nlm.nih.gov/23734399/	T1
A-US-2	B6-026	PubMed 26477217; 23734399	pmid:26477217	T1
A-US-3	B6-109	Michigan Legislature	https://www.legislature.mi.gov/mileg.aspx?page=getObject&objectname=mcl-37-2202	T1
A-US-3	B6-110	PMC7511432	pmcid:PMC7511432	T1
A-US-3	B6-111	NYC Commission on Human Rights	https://www.nyc.gov/site/cchr/media/height-and-weight.page	T1
A-US-3	B6-112	Harvard Law Review vol. 133; Justia 9th Cir 16-35205	https://harvardlawreview.org/print/vol-133/taylor-v-burlington-northern-railroad-holdings-inc/	T2
A-US-4	B7-090	Federal Register 83 FR 47486	https://www.federalregister.gov/documents/2018/09/19/2018-20161/qualifications-of-drivers-diabetes-standard	T1
A-US-4	B7-091	Federal Register 83 FR 47486	https://www.federalregister.gov/documents/2018/09/19/2018-20161/qualifications-of-drivers-diabetes-standard	T1
A-US-4	B6-091	FMCSA	https://www.fmcsa.dot.gov/taxonomy/term/376?page=2	T1
A-US-4	B6-092	FMCSA MCSA-5870	https://www.fmcsa.dot.gov/regulations/medical/insulin-treated-diabetes-mellitus-assessment-form-mcsa-5870	T1
A-US-5	B7-058	ACHI - BMI Measurement in Arkansas Schools	https://achi.net/publications/bmi-measurement-arkansas/	T2
A-US-5	B7-059	pmid:18076417	https://pubmed.ncbi.nlm.nih.gov/18076417/	T1
A-US-5	B6-015	PubMed 26115907	pmid:26115907	T1
A-US-5	B6-016	PMC5808566; PubMed 25440454	pmcid:PMC5808566	T1
A-IL-1	B6-007	Haaretz 2026-02-20	https://www.haaretz.com/science-and-health/2026-02-20/ty-article/israels-2026-public-health-basket-cancer-treatment-leads-more-mental-health-drugs/000	T2
A-IL-2	B6-077	PMC8356694; PMC7353345	pmcid:PMC8356694	T1
A-FR-1	B3-020	HM Treasury news	https://www.gov.uk/government/news/soft-drinks-industry-levy-comes-into-effect	T1
A-UK-2	B6-094	PubMed 36050848	pmid:36050848	T1
A-AU-1	B7-079	PBS - PBAC advice on equitable access to GLP-1 obesity treatments	https://www.pbs.gov.au/info/reviews/PBAC-advice-equitable-access-to-GLP-1-obesity-treatments	T1
A-AU-1	B7-080	PBS consumer input summary (PDF)	https://www.pbs.gov.au/reviews/obesity-treatments-files/OBESITY-Consumer-input-summary.PDF	T1
A-AU-1	B7-082	TGA media release	https://www.tga.gov.au/news/media-releases/update-glucagon-peptide-1-receptor-agonists-glp-1-ras-pharmacy-compounding-changes	T1
A-AU-1	B6-103	PubMed 42515931	pmid:42515931	T1
A-MIG-1	B6-082	Dept of Home Affairs	https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/health/protecting-health-care-and-community-services	T1
A-MIG-1	B6-083	Immigration New Zealand	https://www.immigration.govt.nz/about-us/news-centre/acceptable-standard-of-health/	T1
A-MIG-1	B7-009	Immigration NZ - Acceptable Standard of Health	https://www.immigration.govt.nz/about-us/news-centre/acceptable-standard-of-health/	T1
A-MIG-1	B7-010	Immigration NZ - Acceptable Standard of Health	https://www.immigration.govt.nz/about-us/news-centre/acceptable-standard-of-health/	T1
A-MIG-1	B7-011	INZ Operational Manual A4.10	https://www.immigration.govt.nz/opsmanual/82036.htm	T1
A-KR-1	B5-005	pmid:24561969	https://pubmed.ncbi.nlm.nih.gov/24561969/	T1
