n	name	url	tier	first_claim
S1	WHO Global Health Observatory, Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%), 18+, both sexes; экспорт Our World in Data	https://raw.githubusercontent.com/dominicroye/obesity/master/share-of-adults-defined-as-obese.csv	T1	база данных
S2	NCD Risk Factor Collaboration, Worldwide trends in diabetes since 1980 (Lancet 2016), age-standardised country file	https://raw.githubusercontent.com/banerjeemdx/Data-Visualisation-with-Tableau---NCD_RisC-dataset-on-BMI-Body-Mass-index-Diabetes-and-Blood-Pre/master/NCD_RisC_Lancet_2016_DM_age_standardised_countries.csv	T1	база данных
S3	NCD-RisC, Worldwide trends in body-mass index (Lancet 2017), age-standardised country file	https://raw.githubusercontent.com/banerjeemdx/Data-Visualisation-with-Tableau---NCD_RisC-dataset-on-BMI-Body-Mass-index-Diabetes-and-Blood-Pre/master/NCD_RisC_Lancet_2017_BMI_age_standardised_country.csv	T1	база данных
S4	World Bank, Population total (зеркало datahub), закреплённый коммит 075cd0da	https://raw.githubusercontent.com/datasets/population/075cd0da5b7268daa466c84b3b2ff109bf3aea7e/data/population.csv	T1	база данных
S5	Member states of the United Nations (список 193)	https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations	T3	база данных
S6	World Obesity Federation, World Obesity Atlas 2025	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2025_rev1.pdf	T2	база данных
S7	World Obesity Federation, World Obesity Atlas 2023	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2023_Report.pdf	T2	база данных
S8	World Obesity Federation, World Obesity Atlas 2022	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2022.pdf	T2	база данных
S9	World Obesity Federation, World Obesity Atlas 2024	https://s3-eu-west-1.amazonaws.com/wof-files/WOF_Obesity_Atlas_2024.pdf	T2	база данных
S10	International Diabetes Federation, IDF Diabetes Atlas 11th edition (2025)	https://international-diabetes-federation.s3.eu-west-1.amazonaws.com/media/uploads/sites/3/2025/10/IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf	T1	база данных
S11	IDF Diabetes Atlas 10th edition (2021), Country summary tables, NCBI Bookshelf	https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/	T1	база данных
S12	Anthropometric Profile of Latin American Population: Results From the ELANS Study (PMC8606788)	https://pmc.ncbi.nlm.nih.gov/articles/PMC8606788/	T1	A1-065
S13	El-Kassas M., Esmat G., Arab J Gastroenterol (pmid:41839719)	https://pubmed.ncbi.nlm.nih.gov/41839719/	T1	A1-073
S14	CDC/NCHS Health E-Stats, Table 1	https://www.cdc.gov/nchs/data/hestat/obesity-adult-17-18/obesity-adult.htm	T1	A1-074
S15	CDC/NCHS Data Brief 508	https://www.cdc.gov/nchs/products/databriefs/db508.htm	T1	A1-076
S16	NCD-RisC Lancet 2016 (PMC5081106), абстракт	https://pmc.ncbi.nlm.nih.gov/articles/PMC5081106/	T1	A2-096
S17	IDF Diabetes Atlas 10th edition (2021), Country summary tables, NCBI Bookshelf	https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/	T1	A2-102
S18	IDF Diabetes Atlas 10th edition (2021), Country summary tables, NCBI Bookshelf	https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/	T1	A2-110
S19	Sun et al. 2022, PMC11057359, абстракт	https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/	T1	A2-132
S20	IDF 10th, Chapter 3 (NBK581940) и Table 4 PMC11057359	https://www.ncbi.nlm.nih.gov/books/NBK581940/	T1	A2-136
S21	NCD-RisC Lancet 2024 (PMC7616842), абстракт	https://pmc.ncbi.nlm.nih.gov/articles/PMC7616842/	T1	A2-142
S22	WHO news release 13.11.2024	https://www.who.int/news/item/13-11-2024-urgent-action-needed-as-global-diabetes-cases-increase-four-fold-over-past-decades	T1	A2-143
S23	Pengpid & Peltzer 2022, BMJ Open, PMC9684960 (абстракт)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9684960/	T1	A2-147
S24	Pengpid & Peltzer 2022, Sci Rep, PMC9515107 (абстракт)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9515107/	T1	A2-148
S25	pmid:12714863 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/12714863/	T1	A2-149
S26	Costanian et al. 2014, Diabetes Res Clin Pract, pmid:25005850 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/25005850/	T1	A2-150
S27	PMC6233908 (абстракт)	https://pmc.ncbi.nlm.nih.gov/articles/PMC6233908/	T1 (вторичная цитата)	A2-151
S28	pmid:30056190 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/30056190/	T1	A2-152
S29	AlSawahli et al. 2021, BMJ Open, PMC8212402 (абстракт)	https://pmc.ncbi.nlm.nih.gov/articles/PMC8212402/	T1	A2-153
S30	Hegazi et al. 2015, Ann Glob Health, pmid:27108148 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/27108148/	T1 (обзор)	A2-154
S31	Gunaid 2002, pmid:15339127 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/15339127/	T1	A2-155
S32	pmid:18557451 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/18557451/	T1	A2-156
S33	pmid:8208193 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/8208193/	T1	A2-157
S34	pmid:7000592 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/7000592/	T1	A2-158
S35	pmid:23867899 (абстракт)	https://pubmed.ncbi.nlm.nih.gov/23867899/	T1	A2-159
S36	高齢者の医療の確保に関する法律 (e-Gov 法令検索)	https://laws.e-gov.go.jp/law/357AC0000000080	T1	B1-001
S37	特定健康診査及び特定保健指導の実施に関する基準 (省令419M60000100157)	https://laws.e-gov.go.jp/law/419M60000100157	T1	B1-002
S38	高齢者の医療の確保に関する法律による保険者の前期高齢者交付金等に関する政令	https://laws.e-gov.go.jp/law/419M60000100140	T1	B1-003
S39	Immigration New Zealand, "Acceptable Standard of Health"	https://www.immigration.govt.nz/about-us/news-centre/acceptable-standard-of-health/	T1	B1-004
S40	Library of Congress blog; ibwlaw.co.nz	https://blogs.loc.gov/law/2013/07/how-big-is-too-big-for-new-zealand/	T2/T3	B1-005
S41	Food Regulations (Cap. 283, Rg 1), reg. 184F	https://sso.agc.gov.sg/SL/SFA1973-RG1?ProvIds=pr184A-	T1	B1-006
S42	PMC10498917 (журнальная статья)	https://pmc.ncbi.nlm.nih.gov/articles/PMC10498917/	T1	B1-008
S43	PMC6670018	https://pmc.ncbi.nlm.nih.gov/articles/PMC6670018/	T1	B1-014
S44	PMC10647377	https://pmc.ncbi.nlm.nih.gov/articles/PMC10647377/	T1	B1-015
S45	НКЗ КНР, "关于做好健康体重管理门诊设置与管理工作的通知" (国卫办医政函〔2025〕113号)	https://www.nhc.gov.cn/wjw/c100378/202504/f94979ff66e0418aa5d610d12a12c848.shtml	T1	B1-016
S46	НКЗ КНР, "关于印发'体重管理年'活动实施方案的通知"	https://www.nhc.gov.cn/ylyjs/gzdt/202406/41c64b9fd9774352af22f5274c1e831d.shtml	T1	B1-017
S47	労働安全衛生法 (e-Gov 法令検索), ст.66	https://laws.e-gov.go.jp/law/347AC0000000057	T1	B1-019
S48	어린이 식생활안전관리 특별법 (국가법령정보센터)	http://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=98630	T1	B1-021
S49	law.go.kr, разъяснение (1차 해석)	https://www.law.go.kr/LSW/cgmExpcInfoP.do?cgmExpcDatSeq=459738&mode=2&ofiClsCd=350116	T1	B1-022
S50	어린이 식생활안전관리 특별법 시행령 (국가법령정보센터)	https://www.law.go.kr/LSW/lsInfoP.do?urlMode=lsInfoP&lsId=010937	T1	B1-023
S51	PBS, "PBAC advice on equitable access to GLP-1 obesity treatments"	https://www.pbs.gov.au/info/reviews/PBAC-advice-equitable-access-to-GLP-1-obesity-treatments	T1	B1-024
S52	PBS news, "PBAC advice on equitable access to GLP-1 obesity treatments"	https://www.pbs.gov.au/news/2026/03/pbac-advice-on-equitable-access-to-glp-1-obesity-treatments-17-march-2026	T1	B1-025
S53	TGA media release	https://www.tga.gov.au/news/media-releases/your-solution-compounding-pharmacy-undertakes-comply-advertising-rules-weight-loss-medicines	T1	B1-026
S54	TGA media release	https://www.tga.gov.au/news/media-releases/update-glucagon-peptide-1-receptor-agonists-glp-1-ras-pharmacy-compounding-changes	T1	B1-027
S55	immi.homeaffairs.gov.au, "Protecting health care and community services"	https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/health/protecting-health-care-and-community-services	T1	B1-029
S56	Parliament of Australia, "Chapter 3 The Migration Health Requirement"	https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Completed_Inquiries/mig/disability/chapter3	T1	B1-030
S57	dof.gov.ph, "ASEAN members cite TRAIN's sweetened beverage tax as successful policy"	https://www.dof.gov.ph/asean-members-cite-trains-sweetened-beverage-tax-as-successful-policy-dof/	T1	B1-033
S58	USDA FAS GAIN report, "Thai Excise Department Implements New Sugar Tax on Beverages"	https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Thai+Excise+Department+Implements+New+Sugar+Tax+on+Beverages_Bangkok_Thailand_10-17-2017.pdf	T1	B1-034
S59	PMC8084227, "Impacts of a sugar sweetened beverage tax on body mass index"	https://pmc.ncbi.nlm.nih.gov/articles/PMC8084227/	T1	B1-035
S60	Campaign for Tobacco-Free Kids, "Government of Viet Nam Approves Life-Saving Taxes"	https://www.tobaccofreekids.org/press-releases/2025_06_18_government-of-viet-nam-approves-life-saving-taxes-on-tobacco-and-sugar-sweetened-beverages	T2 (профильная НКО, ссылается на офиц. закон)	B1-037
S61	moh.gov.sg, "Update on the War on Diabetes"	https://www.moh.gov.sg/newsroom/update-on-the-war-on-diabetes/	T1	B1-039
S62	국민건강보험법 시행령 (국가법령정보센터), ст.25	https://www.law.go.kr/LSW/lumLsLinkPop.do?lspttninfSeq=69419&ancYnChk=0&chrClsCd=010202	T1	B1-040
S63	tax.gov.ae — Federal Tax Authority	https://tax.gov.ae/en/media.centre/news/federal.tax.authority.clarifies.new.aspx	T1	B2-004
S64	WHO EMRO, East Mediterr Health J. 2024;30(11):720-729	https://www.emro.who.int/emhj-volume-30-2024/volume-30-issue-11/situation-analysis-of-sugar-sweetened-beverages-taxation-in-eastern-mediterranean-region.html	T1	B2-005
S65	DoH Abu Dhabi, "Thiqa reimbursement policy for obesity medications"	https://www.doh.gov.ae/-/media/9F8611EF0B7841F28E2AAE4614327F59.ashx	T1	B2-008
S66	PMC10757599 (рецензируемая статья)	https://pmc.ncbi.nlm.nih.gov/articles/PMC10757599/	T1	B2-010
S67	SFDA, новость №17639	https://www.sfda.gov.sa/en/news/17639	T1	B2-011
S68	State Information Service Egypt (sis.gov.eg)	https://sis.gov.eg/en/media-center/news/health-minister-100-million-healthy-lives-initiatives-deliver-289-million-services/	T1	B2-014
S69	aile.gov.tr — Aile ve Sosyal Hizmetler Bakanlığı	https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/yonetmelikler/surucu-adaylari-ve-suruculerde-aranacak-saglik-sartlari-ile-muayenelerine-dair-yonetmelik/	T1	B2-015
S70	PMC10755473, "Israel's repeal of a sweet beverages tax harms public health"	https://pmc.ncbi.nlm.nih.gov/articles/PMC10755473/	T1	B2-018
S71	WHO Europe Health Systems and Policies Monitor (eurohealthobservatory.who.int)	https://eurohealthobservatory.who.int/monitors/health-systems-monitor/updates/hspm/israel-2015/sugar-beverage-tax-cancelled-after-one-year-of-implementation	T1	B2-019
S72	PMC11581873, "Global overview of government-endorsed nutrition labeling policies of packaged foods"	https://pmc.ncbi.nlm.nih.gov/articles/PMC11581873/	T1	B2-021
S73	Sağlık Bakanlığı (saglik.gov.tr)	https://www.saglik.gov.tr/TR-52851/okullarda-satisi-yapilabilecek-yiyecek-ve-icecekler-icin-logo-uygulamasi-01012019.html	T1	B2-023
S74	Tarım ve Orman Bakanlığı (tarimorman.gov.tr), PDF	https://www.tarimorman.gov.tr/GKGM/Belgeler/DB_Gida_Isletmeleri/Okul_Gidasi_SB_Bilim_Kurulu_Karar_Tutanagi.pdf	T1	B2-024
S75	PMC7685619, "Results from the first Kuwait National Bariatric Surgery Report"	https://pmc.ncbi.nlm.nih.gov/articles/PMC7685619/	T1	B2-026
S76	moph.gov.qa vs pubmed.ncbi.nlm.nih.gov/40549421	https://www.moph.gov.qa/english/strategies/Supporting-Strategies-and-Frameworks/nationaldiabetesstrategy/Pages/default.aspx	T1 (оба источника T1, расхождение между ними)	B2-027
S77	Retsinformation, Lov nr. 247 af 30/03/2011	https://www.retsinformation.dk/eli/lta/2011/247/pdf	T1	B3-001
S78	Bødker et al., Health Policy 2015 (pmid:25840733)	https://pubmed.ncbi.nlm.nih.gov/25840733/	T1 (абстракт)	B3-003
S79	Retsinformation, BEK 2014/708 (ссылка)	https://www.retsinformation.dk/eli/lta/2014/708/dan/pdf	T1	B3-005
S80	Danmarks Statistik, Nationalregnskab 2021–2024	https://www.dst.dk/nytpdf/48869	T1	B3-007
S81	Danmarks Statistik NYT 52231	https://www.dst.dk/nyt/52231	T1	B3-008
S82	Danmarks Statistik, Nationalregnskab 2023–2025	https://www.dst.dk/nytpdf/52231	T1	B3-009
S83	Retsinformation BEK 2015/131	https://www.retsinformation.dk/eli/lta/2015/131	T1	B3-010
S84	Retsinformation BEK 1427/2015	https://www.retsinformation.dk/api/pdf/175931	T1	B3-011
S85	Commission Regulation (EU) 2019/649	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019R0649	T1	B3-012
S86	Nemzeti Jogszabálytár, 2011. évi CIII. tv.	https://njt.hu/jogszabaly/2011-103-00-00	T1	B3-013
S87	njt.hu 3. §	https://njt.hu/jogszabaly/2011-103-00-00.1	T1	B3-014
S88	njt.hu ставки	https://njt.hu/jogszabaly/2011-103-00-00.8	T1	B3-015
S89	pmid:37086420	https://pubmed.ncbi.nlm.nih.gov/37086420/	T1 (абстракт)	B3-016
S90	Smed & Jensen? (pmid:29166954)	https://pubmed.ncbi.nlm.nih.gov/29166954/	T1 (абстракт)	B3-017
S91	Finance Act 2017 s.29	https://www.legislation.gov.uk/ukpga/2017/10/section/29/data.xht	T1	B3-018
S92	Finance Act 2017 s.30	https://www.legislation.gov.uk/ukpga/2017/10/part/2/crossheading/charging-of-the-soft-drinks-industry-levy	T1	B3-019
S93	HM Treasury news	https://www.gov.uk/government/news/soft-drinks-industry-levy-comes-into-effect	T1	B3-020
S94	PMC12142870	https://pmc.ncbi.nlm.nih.gov/articles/PMC12142870/	T1 (абстракт)	B3-022
S95	pmid:39903599	https://pubmed.ncbi.nlm.nih.gov/39903599/	T1 (абстракт)	B3-023
S96	Calorie Labelling (OHS) (England) Regs 2021	https://www.legislation.gov.uk/ukdsi/2021/9780348223538	T1	B3-024
S97	PMC11015320	https://pmc.ncbi.nlm.nih.gov/articles/PMC11015320/	T1 (абстракт)	B3-025
S98	PMC7352298	https://pmc.ncbi.nlm.nih.gov/articles/PMC7352298/	T1 (абстракт)	B3-026
S99	pmid:30261242	https://pubmed.ncbi.nlm.nih.gov/30261242/	T1 (абстракт)	B3-027
S100	DHSC guidance	https://www.gov.uk/government/publications/restricting-advertising-of-less-healthy-food-or-drink-on-tv-and-online-products-in-scope/restricting-advertising-of-less-healthy-food-or-drink-on-tv-and-online-products-in-scope	T1	B3-028
S101	gov.uk collection	https://www.gov.uk/government/collections/less-healthy-food-or-drink-advertising-and-promotions-restrictions	T1	B3-029
S102	gov.uk news 16.07.2026	https://www.gov.uk/government/news/childrens-health-further-protected-with-energy-drinks-ban	T1	B3-031
S103	DVLA guidance	https://www.gov.uk/guidance/diabetes-mellitus-assessing-fitness-to-drive	T1	B3-033
S104	pmid:18421936	https://pubmed.ncbi.nlm.nih.gov/18421936/	T1 (абстракт)	B3-035
S105	FeV Anlage 4 Nr. 5.4	https://www.gesetze-im-internet.de/fev_2010/anlage_4.html	T1	B3-036
S106	pmid:34142412	https://pubmed.ncbi.nlm.nih.gov/34142412/	T1 (абстракт)	B3-039
S107	pmid:31331425	https://pubmed.ncbi.nlm.nih.gov/31331425/	T1 (абстракт)	B3-040
S108	NICE TA875	https://www.nice.org.uk/guidance/ta875	T1	B3-041
S109	NICE TA875 rec. 1.1	https://www.nice.org.uk/guidance/ta875/chapter/1-Recommendations	T1	B3-042
S110	NICE TA875 PDF	https://www.nice.org.uk/guidance/ta875/resources/semaglutide-for-managing-overweight-and-obesity-pdf-82613674831813	T1	B3-043
S111	PMC12705252	https://pmc.ncbi.nlm.nih.gov/articles/PMC12705252/	T1 (абстракт)	B3-044
S112	NICE TA1152	https://www.nice.org.uk/guidance/ta1152	T1	B3-045
S113	DHSC summary	https://www.gov.uk/government/publications/better-health-rewards-summary-of-pilot-results/better-health-rewards-pilot-summary-of-results	T1	B3-047
S114	PMC9160476	https://pmc.ncbi.nlm.nih.gov/articles/PMC9160476/	T1 (абстракт)	B3-049
S115	PMC7115827	https://pmc.ncbi.nlm.nih.gov/articles/PMC7115827/	T1 (абстракт)	B3-050
S116	SGB V § 34	https://www.gesetze-im-internet.de/sgb_5/__34.html	T1	B3-051
S117	pmid:40388976	https://pubmed.ncbi.nlm.nih.gov/40388976/	T1 (абстракт)	B3-054
S118	SGB V § 65a	https://www.gesetze-im-internet.de/sgb_5/__65a.html	T1	B3-055
S119	InfoCuria C-354/13 § 58	https://infocuria.curia.europa.eu/tabs/redirect/juris/document/document.jsf?docid=160935&doclang=EN	T1	B3-057
S120	InfoCuria C-354/13 (резолютивная часть)	https://infocuria.curia.europa.eu/tabs/redirect/juris/document/document_print.jsf?docid=160935&doclang=EN	T1	B3-058
S121	CSP art. L3232-9	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000031918053	T1	B3-059
S122	Légifrance JORFTEXT000033922943	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000033922943/	T1	B3-060
S123	CSP art. L2133-1	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000041466290	T1	B3-061
S124	Légifrance, art. 29 Loi 2004-806	https://www.legifrance.gouv.fr/loda/article_lc/JORFARTI000001143058/2026-03-24	T1	B3-062
S125	Arrêté du 27 février 2007	https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006055557	T1	B3-063
S126	CGI art. 1613 ter	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000045764857/2022-05-07	T1	B3-064
S127	pmid:35570062	https://pubmed.ncbi.nlm.nih.gov/35570062/	T1 (абстракт)	B3-066
S128	PMC8819797	https://pmc.ncbi.nlm.nih.gov/articles/PMC8819797/	T1 (абстракт)	B3-071
